cast_id,timeS,prdM,tv290C,c0S/m,flECO-AFL,flECO-AFL1,CStarAt0,par/sat/log,sbeox0V,sbeox0Mm/L,sal00,sigma-é00,sbox0Mm/Kg,depSM,potemp090C,nbin,flag,utc_time,suna_nitrate,suna_match_gap_s
P45_06_CTD_03,312.5,0.843,29.4081,5.822369,0.0269,-360.0,0.0817,1368.9,2.4817,179.266,35.341,22.183,175.917,0.838,29.4079,3,0.0,2026-04-16 11:21:24.500000+00:00,-0.8600572774411335,0.1312
P45_06_CTD_03,313.375,1.47,29.345,5.81408,0.0128,-70.0,0.0898,1274.7,2.4776,180.269,35.3305,22.1965,175.464,1.461,29.3447,4,0.0,2026-04-16 11:21:25.375000+00:00,-1.412393786129754,0.329
P45_06_CTD_03,357.5,1.862,29.3585,5.81559,0.0269,-103.3333,0.0811,1231.5,2.4756,179.998,35.3308,22.1922,175.69,1.851,29.358,3,0.0,2026-04-16 11:22:09.500000+00:00,,5.686400001
P45_06_CTD_03,358.375,2.439,29.3131,5.811462,0.0202,-72.5,0.0797,1010.2,2.4749,179.884,35.3357,22.2112,175.585,2.425,29.3125,4,0.0,2026-04-16 11:22:10.375000+00:00,,6.2006
P45_06_CTD_03,359.375,3.271,29.1856,5.796121,0.0202,-55.0,0.0827,1249.8,2.4732,179.818,35.3242,22.2456,175.906,3.253,29.1848,4,0.0,2026-04-16 11:22:11.375000+00:00,,5.2006
P45_06_CTD_03,360.375,4.036,29.1421,5.792923,0.0239,-85.0,0.0848,904.5,2.4741,179.784,35.3342,22.2677,176.096,4.014,29.1412,4,0.0,2026-04-16 11:22:12.375000+00:00,,4.2006
P45_06_CTD_03,361.375,4.691,29.1091,5.789476,0.0,-85.0,0.0848,915.92,2.4711,179.835,35.3347,22.2793,175.792,4.665,29.1079,4,0.0,2026-04-16 11:22:13.375000+00:00,,3.2006
P45_06_CTD_03,362.375,5.36,29.0787,5.786274,0.0239,-57.5,0.0859,776.95,2.4697,180.43,35.3349,22.2896,175.908,5.331,29.0774,4,0.0,2026-04-16 11:22:14.375000+00:00,,2.2006
P45_06_CTD_03,363.375,6.003,29.0542,5.783788,0.0331,-27.5,0.0894,1013.3,2.4693,180.552,35.3357,22.2985,176.044,5.97,29.0528,4,0.0,2026-04-16 11:22:15.375000+00:00,-0.922717911372207,1.2006
P45_06_CTD_03,364.375,6.78,29.0202,5.780061,0.0349,-57.5,0.087,843.0,2.4699,180.3,35.3349,22.3094,176.185,6.742,29.0185,4,0.0,2026-04-16 11:22:16.375000+00:00,-0.9454416221613753,0.2006
