cast_id,timeS,prdM,tv290C,c0S/m,flECO-AFL,flECO-AFL1,CStarAt0,par/sat/log,sbeox0V,sbeox0Mm/L,sal00,sigma-é00,sbox0Mm/Kg,depSM,potemp090C,nbin,flag,utc_time,suna_nitrate,suna_match_gap_s
P45_06_CTD_08,191.5,3.483,29.7233,5.862029,0.0147,80.0,0.0861,506.55,2.1901,155.089,35.3793,22.1052,147.795,3.463,29.7224,3,0.0,2026-04-17 14:54:33.500000+00:00,,3.9688
P45_06_CTD_08,192.25,4.218,29.7391,5.864655,0.022,40.0,0.0901,311.26,2.1988,153.956,35.3853,22.1044,150.53,4.195,29.7381,3,0.0,2026-04-17 14:54:34.250000+00:00,,3.2188
P45_06_CTD_08,370.375,5.115,29.7191,5.863597,0.0092,67.5,0.0905,447.99,2.6249,192.055,35.3926,22.1167,187.902,5.087,29.7178,4,0.0,2026-04-17 14:57:32.375000+00:00,,3.5998
P45_06_CTD_08,371.375,5.767,29.6912,5.860713,0.0275,105.0,0.0924,211.46,2.6223,192.428,35.3933,22.1268,187.587,5.735,29.6898,4,0.0,2026-04-17 14:57:33.375000+00:00,,2.5998
P45_06_CTD_08,372.375,5.981,29.6879,5.860533,0.0257,45.0,0.0895,206.69,2.6219,191.601,35.3944,22.1288,187.803,5.948,29.6864,4,0.0,2026-04-17 14:57:34.375000+00:00,-0.9913580311789851,1.5998
P45_06_CTD_08,373.375,6.391,29.6498,5.856429,0.0202,147.5,0.0986,299.22,2.6274,191.237,35.3943,22.1417,188.723,6.355,29.6482,4,0.0,2026-04-17 14:57:35.375000+00:00,-1.0280138480679286,0.5998
P45_06_CTD_08,374.375,7.092,29.5474,5.844332,0.0294,52.5,0.0933,325.57,2.6293,192.028,35.3868,22.1708,188.615,7.053,29.5457,4,0.0,2026-04-17 14:57:36.375000+00:00,-1.034925459512974,0.4002
P45_06_CTD_08,375.375,7.751,29.4767,5.836866,0.0312,52.5,0.0869,201.96,2.6235,193.111,35.3877,22.1955,188.296,7.707,29.4748,4,0.0,2026-04-17 14:57:37.375000+00:00,-0.9972579601255019,1.4002
P45_06_CTD_08,376.375,8.172,29.447,5.834035,0.0257,72.5,0.0863,199.13,2.6219,192.779,35.3901,22.2073,188.509,8.126,29.4449,4,0.0,2026-04-17 14:57:38.375000+00:00,,2.4002
P45_06_CTD_08,377.375,8.443,29.4233,5.831346,0.022,177.5,0.0877,207.42,2.625,192.64,35.389,22.2146,189.239,8.396,29.4212,4,0.0,2026-04-17 14:57:39.375000+00:00,,3.4002
P45_06_CTD_08,378.375,8.972,29.3953,5.82824,0.0275,-57.5,0.0868,244.08,2.6292,193.486,35.3882,22.2235,189.331,8.922,29.3931,4,0.0,2026-04-17 14:57:40.375000+00:00,,4.4002
P45_06_CTD_08,379.375,9.938,29.3733,5.825799,0.0294,95.0,0.0877,243.07,2.6248,194.082,35.3875,22.2304,188.779,9.882,29.3709,4,0.0,2026-04-17 14:57:41.375000+00:00,,5.4002
P45_06_CTD_08,380.125,10.373,29.3693,5.825572,0.0183,115.0,0.0858,185.09,2.6224,193.122,35.3888,22.2328,188.815,10.315,29.3668,2,0.0,2026-04-17 14:57:42.125000+00:00,,6.1502
P45_06_CTD_08,381.375,10.532,29.3684,5.825551,0.0936,122.5,0.0871,165.83,2.6257,192.746,35.3893,22.2335,189.309,10.473,29.3658,4,0.0,2026-04-17 14:57:43.375000+00:00,,5.0774
P45_06_CTD_08,382.375,11.286,29.3609,5.824528,0.0367,87.5,0.0835,224.53,2.6261,193.336,35.3875,22.2347,189.072,11.223,29.3582,4,0.0,2026-04-17 14:57:44.375000+00:00,,4.0774
P45_06_CTD_08,383.375,12.089,29.3569,5.824218,0.0275,80.0,0.0906,212.57,2.622,194.136,35.3881,22.2366,188.84,12.021,29.354,4,0.0,2026-04-17 14:57:45.375000+00:00,,3.0774
P45_06_CTD_08,385.375,12.573,29.3547,5.824116,0.0312,5.0,0.0833,224.68,2.6301,192.955,35.3889,22.2379,189.759,12.503,29.3517,4,0.0,2026-04-17 14:57:47.375000+00:00,-0.6205829662507822,1.0774
P45_06_CTD_08,386.375,13.357,29.3486,5.823746,0.0312,155.0,0.0816,215.73,2.6279,193.548,35.3906,22.2414,189.171,13.283,29.3454,4,0.0,2026-04-17 14:57:48.375000+00:00,-0.5829154668633103,0.0774
P45_06_CTD_08,387.375,13.989,29.3438,5.823219,0.0294,87.5,0.0834,180.82,2.624,193.71,35.3903,22.2428,189.377,13.911,29.3404,4,0.0,2026-04-17 14:57:49.375000+00:00,-0.5592547633600438,0.9226
P45_06_CTD_08,388.375,14.364,29.3392,5.822677,0.0423,130.0,0.0815,194.78,2.6319,193.035,35.3899,22.2441,190.25,14.283,29.3357,4,0.0,2026-04-17 14:57:50.375000+00:00,-0.5367691378679169,1.9226
P45_06_CTD_08,389.375,14.798,29.3327,5.82202,0.0257,165.0,0.0811,208.76,2.6328,193.517,35.3901,22.2465,190.026,14.715,29.3291,4,0.0,2026-04-17 14:57:51.375000+00:00,,2.9226
P45_06_CTD_08,390.375,15.662,29.3067,5.818815,0.0367,32.5,0.0786,164.15,2.6327,194.441,35.387,22.253,190.303,15.574,29.3029,4,0.0,2026-04-17 14:57:52.375000+00:00,,3.9226
P45_06_CTD_08,392.625,16.155,29.2745,5.815836,0.033,145.0,0.0794,186.85,2.6433,193.476,35.3902,22.2662,191.378,16.064,29.2706,2,0.0,2026-04-17 14:57:54.625000+00:00,,6.1726
P45_06_CTD_08,393.375,16.926,29.1725,5.802295,0.0312,47.5,0.0798,160.59,2.6462,194.798,35.3723,22.2872,192.17,16.831,29.1684,4,0.0,2026-04-17 14:57:55.375000+00:00,,5.5298
P45_06_CTD_08,394.375,17.648,29.0388,5.785112,0.0275,115.0,0.0779,166.93,2.6516,195.563,35.3528,22.3175,193.123,17.549,29.0345,4,0.0,2026-04-17 14:57:56.375000+00:00,,4.5298
P45_06_CTD_08,395.375,17.87,28.9692,5.77727,0.0294,100.0,0.0799,171.11,2.6553,195.53,35.3502,22.3388,193.958,17.77,28.9649,4,0.0,2026-04-17 14:57:57.375000+00:00,,3.5298
P45_06_CTD_08,396.375,18.362,28.8738,5.766201,0.0349,120.0,0.0769,168.07,2.6669,196.534,35.3443,22.3663,195.414,18.26,28.8694,4,0.0,2026-04-17 14:57:58.375000+00:00,,2.5298
P45_06_CTD_08,397.375,19.014,28.7012,5.743307,0.0441,120.0,0.0924,149.62,2.6717,197.803,35.3137,22.4009,196.195,18.907,28.6966,4,0.0,2026-04-17 14:57:59.375000+00:00,-0.3343985084387756,1.5298
P45_06_CTD_08,398.375,19.541,28.5267,5.722471,0.0441,125.0,0.0784,148.73,2.677,198.489,35.2986,22.4474,197.407,19.432,28.5221,4,0.0,2026-04-17 14:58:00.375000+00:00,-0.31191288294664876,0.5298
P45_06_CTD_08,399.375,20.0,28.2786,5.693876,0.0441,75.0,0.0802,144.22,2.6833,199.858,35.2841,22.5184,198.585,19.888,28.2738,4,0.0,2026-04-17 14:58:01.375000+00:00,-0.31560785875820185,0.4702
P45_06_CTD_08,400.375,20.468,28.0342,5.666352,0.0478,130.0,0.0838,139.54,2.6821,201.171,35.2741,22.5911,198.803,20.354,28.0293,4,0.0,2026-04-17 14:58:02.375000+00:00,-0.34880193922136793,1.4702
P45_06_CTD_08,401.375,21.111,27.8976,5.653063,0.0551,162.5,0.0947,137.72,2.6765,203.164,35.2828,22.6424,198.83,20.993,27.8927,4,0.0,2026-04-17 14:58:03.375000+00:00,,2.4702
P45_06_CTD_08,402.375,21.474,27.8248,5.646142,0.0422,87.5,0.0867,143.9,2.6764,204.036,35.2887,22.6706,199.161,21.354,27.8198,4,0.0,2026-04-17 14:58:04.375000+00:00,,3.4702
P45_06_CTD_08,403.375,21.728,27.7813,5.643068,0.0569,170.0,0.0821,140.64,2.6725,204.387,35.2996,22.693,198.866,21.607,27.7762,4,0.0,2026-04-17 14:58:05.375000+00:00,,4.4702
P45_06_CTD_08,404.375,22.581,27.6064,5.62603,0.0459,177.5,0.0836,118.81,2.6715,205.505,35.3107,22.7583,199.612,22.455,27.6011,4,0.0,2026-04-17 14:58:06.375000+00:00,,5.4702
P45_06_CTD_08,405.375,23.289,27.4078,5.609745,0.0533,142.5,0.0857,126.77,2.6725,205.851,35.3452,22.8485,200.104,23.158,27.4023,4,0.0,2026-04-17 14:58:07.375000+00:00,,5.8814
P45_06_CTD_08,406.375,23.467,27.3323,5.604761,0.0478,142.5,0.0887,121.59,2.6649,205.166,35.3669,22.8892,199.557,23.336,27.3269,4,0.0,2026-04-17 14:58:08.375000+00:00,,4.8814
P45_06_CTD_08,407.375,23.876,27.2585,5.599705,0.0606,232.5,0.0849,118.02,2.668,205.429,35.3868,22.9279,201.507,23.742,27.253,4,0.0,2026-04-17 14:58:09.375000+00:00,,3.8814
P45_06_CTD_08,408.375,24.377,27.1324,5.589351,0.068,220.0,0.0857,107.24,2.6875,205.554,35.4087,22.985,203.704,24.24,27.1268,4,0.0,2026-04-17 14:58:10.375000+00:00,,2.8814
P45_06_CTD_08,409.375,24.908,27.02,5.580945,0.0698,227.5,0.0852,101.46,2.6895,205.772,35.434,23.0402,202.726,24.768,27.0143,4,0.0,2026-04-17 14:58:11.375000+00:00,-0.6475486633898627,1.8814
P45_06_CTD_08,410.375,25.762,26.7423,5.555981,0.1047,200.0,0.0887,84.467,2.6785,206.828,35.4671,23.1537,202.254,25.618,26.7364,4,0.0,2026-04-17 14:58:12.375000+00:00,-0.6807427438530289,0.8814
P45_06_CTD_08,411.125,26.204,26.5609,5.539981,0.1139,155.0,0.0912,103.54,2.6723,207.056,35.4909,23.2293,202.36,26.057,26.5549,2,0.0,2026-04-17 14:58:13.125000+00:00,-0.7056382999515611,0.1314
P45_06_CTD_08,412.625,26.345,26.4583,5.533119,0.0992,215.0,0.092,97.308,2.6634,208.036,35.5203,23.2839,202.126,26.197,26.4524,2,0.0,2026-04-17 14:58:14.625000+00:00,-0.7809142161244681,1.3686
P45_06_CTD_08,413.375,26.906,26.1981,5.508171,0.1377,222.5,0.093,81.824,2.6559,211.308,35.5401,23.3807,201.224,26.755,26.1921,4,0.0,2026-04-17 14:58:15.375000+00:00,,2.1186
P45_06_CTD_08,414.375,27.696,25.6727,5.453479,0.1506,232.5,0.1024,81.503,2.6264,213.292,35.5486,23.551,198.582,27.541,25.6666,4,0.0,2026-04-17 14:58:16.375000+00:00,,3.1186
P45_06_CTD_08,415.375,28.132,25.3766,5.42674,0.1781,232.5,0.1043,87.09,2.5929,211.951,35.5831,23.6685,197.845,27.974,25.3704,4,0.0,2026-04-17 14:58:17.375000+00:00,,4.1186
P45_06_CTD_08,416.375,28.282,25.2652,5.417065,0.191,287.5,0.1036,84.92,2.5883,211.296,35.5989,23.7148,198.304,28.123,25.259,4,0.0,2026-04-17 14:58:18.375000+00:00,,5.1186
