cast_id,timeS,prdM,tv290C,c0S/m,flECO-AFL,flECO-AFL1,CStarAt0,par/sat/log,sbeox0V,sbeox0Mm/L,sal00,sigma-é00,sbox0Mm/Kg,depSM,potemp090C,nbin,flag,utc_time,suna_nitrate,suna_match_gap_s
P45_06_CTD_05,362.375,3.333,29.3553,5.790624,0.0312,55.0,0.0865,44.772,1.8216,118.069,35.1617,22.0665,117.517,3.314,29.3545,4,0.0,2026-04-16 17:20:47.375000+00:00,,6.3322
P45_06_CTD_05,378.625,3.833,29.3799,5.792063,0.0221,-20.0,0.0757,49.486,1.8786,123.973,35.1534,22.052,122.673,3.811,29.379,2,0.0,2026-04-16 17:21:03.625000+00:00,,2.6138
P45_06_CTD_05,468.625,4.181,29.4472,5.806361,0.033,-50.0,0.0737,35.586,2.4314,172.459,35.2018,22.0656,171.822,4.157,29.4462,2,0.0,2026-04-16 17:22:33.625000+00:00,,3.974599999
P45_06_CTD_05,469.375,4.799,29.4468,5.806268,0.0312,-37.5,0.075,38.739,2.4273,172.375,35.2013,22.0654,171.613,4.773,29.4456,4,0.0,2026-04-16 17:22:34.375000+00:00,,3.224599999
P45_06_CTD_05,470.375,5.455,29.4412,5.80581,0.0331,32.5,0.0759,37.781,2.4437,173.4,35.202,22.0679,174.268,5.425,29.4399,4,0.0,2026-04-16 17:22:35.375000+00:00,,2.224599999
P45_06_CTD_05,471.375,6.093,29.4331,5.804878,0.0239,117.5,0.073,33.62,2.464,173.853,35.2014,22.0703,175.212,6.059,29.4316,4,0.0,2026-04-16 17:22:36.375000+00:00,-0.34905228886389206,1.224599999
P45_06_CTD_05,472.375,6.825,29.4249,5.804238,0.0404,-110.0,0.0783,32.291,2.4614,174.117,35.2028,22.0741,174.151,6.787,29.4233,4,0.0,2026-04-16 17:22:37.375000+00:00,-0.26000092028496447,0.224599999
P45_06_CTD_05,473.375,7.435,29.4115,5.802683,0.0312,-27.5,0.0733,34.398,2.4619,176.275,35.2019,22.078,174.845,7.394,29.4097,4,0.0,2026-04-16 17:22:38.375000+00:00,-0.3035812164949867,0.775400001
P45_06_CTD_05,474.375,7.751,29.3985,5.801779,0.0312,-22.5,0.0749,34.225,2.469,175.693,35.2051,22.0849,175.587,7.708,29.3965,4,0.0,2026-04-16 17:22:39.375000+00:00,-0.3855791540128907,1.775400001
P45_06_CTD_05,475.375,8.571,29.308,5.791722,0.0422,12.5,0.0746,27.868,2.4745,177.272,35.2024,22.1134,176.283,8.523,29.3059,4,0.0,2026-04-16 17:22:40.375000+00:00,,2.775400001
P45_06_CTD_05,476.375,9.535,29.2019,5.78092,0.0386,-90.0,0.0762,31.241,2.4774,180.722,35.206,22.1518,176.643,9.482,29.1996,4,0.0,2026-04-16 17:22:41.375000+00:00,,3.775400001
P45_06_CTD_05,477.375,10.011,29.1678,5.778725,0.0404,12.5,0.08,31.737,2.4788,179.721,35.2159,22.1708,176.918,9.955,29.1653,4,0.0,2026-04-16 17:22:42.375000+00:00,,4.775400001
P45_06_CTD_05,478.375,10.515,29.1448,5.776751,0.0386,0.0,0.0839,29.54,2.4809,178.95,35.2191,22.181,177.233,10.456,29.1422,4,0.0,2026-04-16 17:22:43.375000+00:00,,5.775400001
P45_06_CTD_05,479.375,11.226,29.1219,5.774985,0.0257,20.0,0.0914,27.966,2.4847,180.301,35.2235,22.192,177.844,11.164,29.1192,4,0.0,2026-04-16 17:22:44.375000+00:00,,6.0298
P45_06_CTD_05,480.375,11.982,29.108,5.774421,0.0514,-65.0,0.0937,26.861,2.4916,180.941,35.2297,22.2014,178.714,11.915,29.1051,4,0.0,2026-04-16 17:22:45.375000+00:00,,5.0298
