cast_id,timeS,prdM,tv290C,c0S/m,flECO-AFL,flECO-AFL1,CStarAt0,par/sat/log,sbeox0V,sbeox0Mm/L,sal00,sigma-é00,sbox0Mm/Kg,depSM,potemp090C,nbin,flag,utc_time,suna_nitrate,suna_match_gap_s
P45_06_CTD_04,296.375,2.311,29.5433,5.820906,0.0331,10.0,0.0775,181.57,2.5264,183.562,35.2313,22.0551,179.783,2.298,29.5427,4,0.0,2026-04-16 16:27:21.375000+00:00,,2.8638
P45_06_CTD_04,299.625,2.995,29.553,5.822294,0.0331,35.0,0.0779,106.26,2.5208,183.172,35.2334,22.0534,179.278,2.979,29.5523,2,0.0,2026-04-16 16:27:24.625000+00:00,-0.5288980258336682,0.3862
P45_06_CTD_04,300.375,3.777,29.543,5.821134,0.0294,-22.5,0.0814,86.349,2.5237,183.722,35.2326,22.0564,179.897,3.756,29.5421,4,0.0,2026-04-16 16:27:25.375000+00:00,-0.5655979726109903,1.1362
P45_06_CTD_04,301.375,4.547,29.5041,5.816375,0.0275,5.0,0.0786,103.31,2.531,184.022,35.2284,22.0664,180.34,4.521,29.503,4,0.0,2026-04-16 16:27:26.375000+00:00,,2.1362
P45_06_CTD_04,302.375,4.983,29.4883,5.815384,0.0386,40.0,0.0771,101.43,2.524,183.933,35.2331,22.0753,179.261,4.955,29.4871,4,0.0,2026-04-16 16:27:27.375000+00:00,,3.1362
P45_06_CTD_04,303.375,5.614,29.4132,5.806921,0.0275,-7.5,0.0797,85.592,2.5205,183.68,35.2301,22.0985,179.582,5.582,29.4118,4,0.0,2026-04-16 16:27:28.375000+00:00,,4.1362
P45_06_CTD_04,304.375,6.344,29.332,5.798239,0.0496,0.0,0.0797,93.353,2.5219,183.601,35.2301,22.1259,180.16,6.308,29.3304,4,0.0,2026-04-16 16:27:29.375000+00:00,,5.1362
P45_06_CTD_04,305.375,7.014,29.2853,5.793885,0.0312,5.0,0.0814,83.949,2.5231,184.288,35.2344,22.145,180.372,6.975,29.2836,4,0.0,2026-04-16 16:27:30.375000+00:00,,6.1254
P45_06_CTD_04,306.375,7.885,29.2199,5.786652,0.0404,12.5,0.0824,77.454,2.524,185.596,35.2326,22.1657,180.693,7.841,29.2179,4,0.0,2026-04-16 16:27:31.375000+00:00,,5.1254
P45_06_CTD_04,307.375,8.698,29.1783,5.782821,0.0587,0.0,0.0865,86.503,2.5244,184.771,35.2366,22.1827,180.7,8.649,29.1762,4,0.0,2026-04-16 16:27:32.375000+00:00,,4.1254
P45_06_CTD_04,308.375,9.228,29.1666,5.781997,0.0386,-37.5,0.0873,82.419,2.5231,184.001,35.2395,22.1889,180.821,9.177,29.1643,4,0.0,2026-04-16 16:27:33.375000+00:00,,3.1254
P45_06_CTD_04,309.375,9.662,29.1622,5.781795,0.0386,45.0,0.0873,79.899,2.5264,184.559,35.2412,22.1916,181.32,9.608,29.1599,4,0.0,2026-04-16 16:27:34.375000+00:00,,2.1254
P45_06_CTD_04,310.375,10.413,29.1502,5.781054,0.0367,40.0,0.0897,82.362,2.531,184.891,35.2447,22.1983,181.742,10.355,29.1477,4,0.0,2026-04-16 16:27:35.375000+00:00,-1.054930512795866,1.1254
P45_06_CTD_04,311.375,11.264,29.1372,5.780404,0.0331,-7.5,0.0901,78.39,2.5319,184.999,35.2496,22.2064,181.673,11.202,29.1344,4,0.0,2026-04-16 16:27:36.375000+00:00,-1.1038637668143534,0.1254
P45_06_CTD_04,312.375,11.895,29.1241,5.779346,0.0404,12.5,0.0892,74.786,2.533,185.101,35.2518,22.2126,181.929,11.829,29.1212,4,0.0,2026-04-16 16:27:37.375000+00:00,-1.089163168782043,0.8746
P45_06_CTD_04,313.375,12.446,29.106,5.777997,0.0404,47.5,0.0893,73.638,2.5352,184.848,35.2557,22.2216,182.236,12.377,29.1029,4,0.0,2026-04-16 16:27:38.375000+00:00,-1.0653387544866852,1.8746
P45_06_CTD_04,314.375,13.325,29.071,5.775171,0.0441,40.0,0.0908,72.012,2.5382,185.469,35.2618,22.238,182.73,13.251,29.0677,4,0.0,2026-04-16 16:27:39.375000+00:00,,2.8746
P45_06_CTD_04,315.375,14.191,29.0407,5.772997,0.0349,55.0,0.0919,70.347,2.5423,186.209,35.2689,22.2535,183.373,14.112,29.0373,4,0.0,2026-04-16 16:27:40.375000+00:00,,3.8746
P45_06_CTD_04,316.375,14.54,29.019,5.7711,0.0367,0.0,0.0923,69.76,2.551,186.321,35.2718,22.263,184.555,14.458,29.0155,4,0.0,2026-04-16 16:27:41.375000+00:00,,4.8746
P45_06_CTD_04,317.375,15.035,28.9843,5.768094,0.0422,-15.0,0.0917,67.462,2.5609,186.307,35.2766,22.2782,185.478,14.951,28.9807,4,0.0,2026-04-16 16:27:42.375000+00:00,,5.8746
