cast_id,timeS,prdM,tv290C,c0S/m,flECO-AFL,flECO-AFL1,CStarAt0,par/sat/log,sbeox0V,sbeox0Mm/L,sal00,sigma-é00,sbox0Mm/Kg,depSM,potemp090C,nbin,flag,utc_time,suna_nitrate,suna_match_gap_s
P45_06_CTD_06,134.375,1.725,29.8148,5.834335,0.0202,7.5,0.1191,659.13,2.5429,185.707,35.1246,21.8829,180.359,1.716,29.8144,4,0.0,2026-04-16 14:35:36.375000+00:00,-0.537499922962963,0.081
P45_06_CTD_06,311.625,2.442,29.7653,5.831467,0.0367,115.0,0.0721,286.32,2.5373,184.904,35.141,21.9121,180.225,2.428,29.7647,2,0.0,2026-04-16 14:38:33.625000+00:00,-0.9054218302253295,1.687
P45_06_CTD_06,312.375,3.1,29.6364,5.813125,0.011,32.5,0.0729,303.59,2.5375,184.999,35.1099,21.9326,180.516,3.083,29.6357,4,0.0,2026-04-16 14:38:34.375000+00:00,,2.437
P45_06_CTD_06,313.375,3.779,29.4395,5.791482,0.022,90.0,0.0755,405.29,2.536,185.067,35.1058,21.9962,181.344,3.758,29.4386,4,0.0,2026-04-16 14:38:35.375000+00:00,,3.437
P45_06_CTD_06,314.375,4.104,29.3723,5.786841,0.0239,97.5,0.0767,284.39,2.547,184.496,35.1232,22.0319,182.774,4.081,29.3713,4,0.0,2026-04-16 14:38:36.375000+00:00,,4.437
P45_06_CTD_06,315.375,4.93,29.3258,5.781452,0.0183,122.5,0.0807,321.58,2.544,184.879,35.12,22.0453,181.654,4.902,29.3246,4,0.0,2026-04-16 14:38:37.375000+00:00,,5.437
P45_06_CTD_06,316.375,6.048,29.2927,5.778443,0.0275,65.0,0.0816,362.56,2.5383,185.766,35.1233,22.059,181.499,6.015,29.2912,4,0.0,2026-04-16 14:38:38.375000+00:00,,6.0514
P45_06_CTD_06,317.125,6.381,29.2876,5.778109,0.0257,230.0,0.0834,249.95,2.5366,185.911,35.1247,22.0618,181.512,6.346,29.286,2,0.0,2026-04-16 14:38:39.125000+00:00,,5.3014
P45_06_CTD_06,318.375,6.584,29.2866,5.778156,0.0349,102.5,0.0803,238.84,2.5355,185.521,35.1257,22.0629,181.523,6.547,29.285,4,0.0,2026-04-16 14:38:40.375000+00:00,,4.0514
P45_06_CTD_06,319.375,7.639,29.2684,5.776293,0.033,12.5,0.0797,256.48,2.5362,186.941,35.126,22.0693,181.599,7.596,29.2665,4,0.0,2026-04-16 14:38:41.375000+00:00,,3.0514
P45_06_CTD_06,320.375,8.713,29.2553,5.7755,0.0331,45.0,0.0806,294.11,2.5336,186.998,35.1298,22.0766,181.284,8.665,29.2532,4,0.0,2026-04-16 14:38:42.375000+00:00,,2.0514
P45_06_CTD_06,321.375,9.11,29.2518,5.775213,0.0257,110.0,0.0804,277.2,2.5312,185.45,35.1303,22.0782,181.3,9.059,29.2496,4,0.0,2026-04-16 14:38:43.375000+00:00,-0.6477827404090043,1.0514
P45_06_CTD_06,322.375,9.352,29.25,5.775074,0.0275,90.0,0.0819,246.87,2.5337,185.547,35.1306,22.0791,181.663,9.3,29.2477,4,0.0,2026-04-16 14:38:44.375000+00:00,-0.6213582187234672,0.0514
P45_06_CTD_06,323.375,10.087,29.2386,5.773771,0.0294,62.5,0.0851,283.98,2.5334,185.645,35.1298,22.0824,181.512,10.031,29.2361,4,0.0,2026-04-16 14:38:45.375000+00:00,-0.6579027643523846,0.9486
P45_06_CTD_06,324.375,10.982,29.2271,5.772476,0.0275,15.0,0.0809,264.16,2.5333,185.867,35.1291,22.0858,181.521,10.921,29.2244,4,0.0,2026-04-16 14:38:46.375000+00:00,-0.697859291650684,1.9486
P45_06_CTD_06,325.375,11.403,29.2261,5.77263,0.0312,77.5,0.0804,206.62,2.5313,185.578,35.1308,22.0874,181.444,11.339,29.2233,4,0.0,2026-04-16 14:38:47.375000+00:00,,2.9486
P45_06_CTD_06,326.375,11.842,29.2249,5.772705,0.0312,65.0,0.0818,287.03,2.5332,185.229,35.1321,22.0888,181.71,11.776,29.222,4,0.0,2026-04-16 14:38:48.375000+00:00,,3.9486
P45_06_CTD_06,327.375,12.847,29.2202,5.772782,0.0404,30.0,0.0813,202.61,2.5332,185.709,35.1357,22.0932,181.553,12.775,29.2171,4,0.0,2026-04-16 14:38:49.375000+00:00,,4.9486
P45_06_CTD_06,328.375,13.721,29.2166,5.772743,0.0331,115.0,0.0806,213.2,2.5308,185.844,35.1379,22.0961,181.471,13.644,29.2132,4,0.0,2026-04-16 14:38:50.375000+00:00,,5.9486
P45_06_CTD_06,329.375,14.136,29.214,5.772689,0.0496,102.5,0.0809,249.93,2.5341,185.657,35.1393,22.0981,182.097,14.057,29.2105,4,0.0,2026-04-16 14:38:51.375000+00:00,,5.565
P45_06_CTD_06,330.375,14.707,29.1989,5.771339,0.0257,140.0,0.0801,231.15,2.5381,185.483,35.141,22.1044,182.516,14.625,29.1953,4,0.0,2026-04-16 14:38:52.375000+00:00,,4.565
P45_06_CTD_06,331.375,15.693,29.1513,5.766844,0.0349,180.0,0.0795,177.54,2.5434,185.873,35.1447,22.1233,183.276,15.605,29.1475,4,0.0,2026-04-16 14:38:53.375000+00:00,,3.565
P45_06_CTD_06,332.375,16.457,29.0503,5.755992,0.0367,122.5,0.0789,218.77,2.548,186.241,35.1441,22.1567,183.834,16.365,29.0464,4,0.0,2026-04-16 14:38:54.375000+00:00,,2.565
P45_06_CTD_06,333.375,16.704,28.9479,5.745817,0.0423,165.0,0.0801,210.76,2.5503,186.182,35.1493,22.195,184.316,16.611,28.9439,4,0.0,2026-04-16 14:38:55.375000+00:00,-1.0574680373353793,1.565
P45_06_CTD_06,334.375,17.372,28.766,5.72849,0.0422,255.0,0.0801,189.54,2.5534,187.045,35.1636,22.2664,185.134,17.275,28.7618,4,0.0,2026-04-16 14:38:56.375000+00:00,-1.0974245646336787,0.565
P45_06_CTD_06,335.375,18.322,28.587,5.715434,0.0404,147.5,0.084,175.84,2.5534,188.392,35.2053,22.3572,185.48,18.219,28.5827,4,0.0,2026-04-16 14:38:57.375000+00:00,-1.12034742194109,0.435
P45_06_CTD_06,336.375,18.755,28.5248,5.714102,0.0587,137.5,0.0855,186.82,2.5526,189.196,35.2422,22.4055,185.438,18.65,28.5203,4,0.0,2026-04-16 14:38:58.375000+00:00,-1.121146092952527,1.435
P45_06_CTD_06,337.375,19.209,28.4469,5.706656,0.0496,172.5,0.0874,185.93,2.5495,189.947,35.2481,22.4358,185.819,19.102,28.4423,4,0.0,2026-04-16 14:38:59.375000+00:00,,2.435
P45_06_CTD_06,338.375,20.114,28.397,5.704752,0.0422,192.5,0.0886,142.97,2.5598,190.206,35.2717,22.4701,187.816,20.002,28.3922,4,0.0,2026-04-16 14:39:00.375000+00:00,,3.435
P45_06_CTD_06,339.375,20.868,28.4225,5.71436,0.0643,177.5,0.0889,181.88,2.5762,190.401,35.3194,22.4976,189.582,20.752,28.4176,4,0.0,2026-04-16 14:39:01.375000+00:00,,4.435
P45_06_CTD_06,340.375,21.399,28.4148,5.715905,0.0441,157.5,0.0852,149.26,2.5968,190.304,35.3358,22.5125,191.542,21.279,28.4097,4,0.0,2026-04-16 14:39:02.375000+00:00,,5.435
P45_06_CTD_06,341.375,22.009,28.2216,5.699007,0.0716,215.0,0.089,153.82,2.6154,190.351,35.362,22.5959,193.748,21.886,28.2164,4,0.0,2026-04-16 14:39:03.375000+00:00,,6.0858
P45_06_CTD_06,342.375,22.536,27.8979,5.667551,0.0992,200.0,0.087,148.69,2.6321,190.926,35.3841,22.7187,195.934,22.41,27.8926,4,0.0,2026-04-16 14:39:04.375000+00:00,,5.0858
P45_06_CTD_06,343.375,23.295,27.5261,5.633822,0.0955,240.0,0.091,121.4,2.64,193.416,35.4263,22.8712,197.167,23.164,27.5207,4,0.0,2026-04-16 14:39:05.375000+00:00,,4.0858
P45_06_CTD_06,344.375,24.287,27.0528,5.588385,0.1157,185.0,0.1011,108.43,2.6401,197.544,35.4624,23.0509,198.378,24.151,27.0473,4,0.0,2026-04-16 14:39:06.375000+00:00,,3.0858
P45_06_CTD_06,345.125,24.767,26.7728,5.563582,0.1249,185.0,0.1126,131.81,2.6392,200.645,35.4986,23.1677,199.259,24.627,26.7672,2,0.0,2026-04-16 14:39:07.125000+00:00,,2.3358
P45_06_CTD_06,346.5,24.914,26.6423,5.555088,0.1885,243.3333,0.1102,134.56,2.638,203.97,35.5377,23.2386,198.937,24.775,26.6366,3,0.0,2026-04-16 14:39:08.500000+00:00,-1.1292326368922112,0.9608
P45_06_CTD_06,347.375,25.651,26.5921,5.550542,0.1396,240.0,0.1121,86.966,2.6277,205.403,35.5433,23.2588,197.331,25.507,26.5863,4,0.0,2026-04-16 14:39:09.375000+00:00,-1.1299314740783335,0.0858
P45_06_CTD_06,348.375,26.618,26.4707,5.538066,0.1542,207.5,0.1214,96.413,2.6066,206.051,35.5464,23.2997,194.711,26.468,26.4646,4,0.0,2026-04-16 14:39:10.375000+00:00,-1.135440695494852,0.9142
P45_06_CTD_06,349.375,27.136,26.3821,5.530196,0.1744,225.0,0.1244,107.33,2.5743,205.65,35.5577,23.3362,192.052,26.984,26.3759,4,0.0,2026-04-16 14:39:11.375000+00:00,-1.1413920137118372,1.9142
P45_06_CTD_06,350.375,27.56,26.3086,5.523678,0.1469,245.0,0.1224,100.64,2.5557,205.453,35.5671,23.3664,191.674,27.406,26.3024,4,0.0,2026-04-16 14:39:12.375000+00:00,,2.9142
P45_06_CTD_06,351.375,28.146,26.079,5.500998,0.1708,232.5,0.1283,90.135,2.5456,205.856,35.5798,23.4481,191.762,27.989,26.0727,4,0.0,2026-04-16 14:39:13.375000+00:00,,3.9142
P45_06_CTD_06,352.375,28.895,25.6589,5.459413,0.1763,245.0,0.1247,76.951,2.5351,205.668,35.6026,23.5962,192.467,28.733,25.6525,4,0.0,2026-04-16 14:39:14.375000+00:00,,4.9142
P45_06_CTD_06,353.375,29.482,25.1142,5.402725,0.1763,220.0,0.1263,83.67,2.5312,204.278,35.6109,23.77,194.263,29.317,25.1078,4,0.0,2026-04-16 14:39:15.375000+00:00,,5.9142
P45_06_CTD_06,354.375,29.847,24.7209,5.365956,0.1891,215.0,0.1261,81.006,2.5269,201.676,35.6476,23.9175,194.54,29.679,24.7145,4,0.0,2026-04-16 14:39:16.375000+00:00,,6.5282
P45_06_CTD_06,355.375,30.485,24.4663,5.342518,0.1946,230.0,0.1254,66.653,2.5117,200.829,35.6739,24.0142,193.074,30.314,24.4598,4,0.0,2026-04-16 14:39:17.375000+00:00,,5.5282
P45_06_CTD_06,356.375,31.199,24.2095,5.316446,0.2057,225.0,0.125,70.996,2.4936,202.127,35.6821,24.0974,192.257,31.024,24.2029,4,0.0,2026-04-16 14:39:18.375000+00:00,,4.5282
P45_06_CTD_06,357.375,31.59,24.0964,5.307033,0.2057,252.5,0.1214,72.654,2.4788,201.98,35.7012,24.1457,191.505,31.413,24.0897,4,0.0,2026-04-16 14:39:19.375000+00:00,,3.5282
P45_06_CTD_06,358.375,32.197,23.9619,5.294112,0.202,280.0,0.1226,60.212,2.4674,202.346,35.7108,24.193,191.207,32.016,23.9552,4,0.0,2026-04-16 14:39:20.375000+00:00,,2.5282
P45_06_CTD_06,359.375,33.002,23.6933,5.268069,0.2167,302.5,0.1224,57.021,2.4585,203.054,35.7284,24.2857,191.06,32.817,23.6864,4,0.0,2026-04-16 14:39:21.375000+00:00,-1.2009051958816879,1.5282
