Pressure_db,Temperature_C,Fluorescence_mg_m3,BeamAttenuation_1_m,PAR,Oxygen_umol_L,Salinity_PSU,SigmaT_kg_m3,Oxygen_umol_kg,Depth_m,PotentialTemp_C
1.006,29.7352,0.0353,0.1082,327.2,184.591,35.309,22.0482,179.295,1.0,29.7349
2.011,29.7342,0.0399,0.1084,283.06,187.664,35.3089,22.0486,181.226,2.0,29.7337
3.017,29.7065,0.0367,0.1013,211.35,191.694,35.3112,22.0598,187.032,3.0,29.7058
4.022,29.6922,0.0351,0.0979,127.85,191.345,35.311,22.0645,186.576,4.0,29.6912
5.028,29.6772,0.0469,0.0963,91.795,191.359,35.3092,22.0684,183.963,5.0,29.6759
6.033,29.622,0.044,0.099,123.54,191.827,35.3204,22.0957,185.67,6.0,29.6205
7.039,29.444,0.0351,0.0964,76.191,192.507,35.2948,22.1367,188.295,7.0,29.4423
8.045,29.3796,0.041,0.0985,93.122,191.497,35.3142,22.1732,188.364,8.0,29.3776
9.05,29.368,0.0531,0.1005,151.75,189.796,35.3188,22.1805,188.281,9.0,29.3658
10.056,29.3442,0.047,0.0998,103.23,192.6,35.3207,22.1901,188.664,10.0,29.3417
11.062,29.3333,0.0432,0.0981,110.85,193.528,35.3227,22.1954,188.438,11.0,29.3306
12.067,29.3186,0.0524,0.0956,112.04,192.219,35.324,22.2013,188.807,12.0,29.3157
13.073,29.284,0.0442,0.0975,90.797,192.746,35.323,22.2124,188.693,13.0,29.2808
14.079,29.2497,0.0431,0.0959,94.358,193.24,35.3241,22.2248,189.203,14.0,29.2462
15.084,29.2051,0.0499,0.0945,85.266,193.04,35.324,22.2398,189.623,15.0,29.2014
16.09,29.1625,0.0513,0.0915,78.748,193.581,35.3236,22.2539,189.653,16.0,29.1586
17.095,29.1189,0.0449,0.0912,85.402,193.544,35.3241,22.269,190.738,17.0,29.1148
18.101,29.073,0.0793,0.0912,68.084,194.218,35.3226,22.2834,191.174,18.0,29.0686
19.107,28.9984,0.0517,0.0939,78.567,194.571,35.3227,22.3084,192.401,19.0,28.9938
20.113,28.9008,0.0532,0.0902,47.735,195.113,35.3214,22.3402,193.192,20.0,28.896
21.118,28.7499,0.0478,0.0904,27.668,196.781,35.3173,22.3875,195.306,21.0,28.7448
22.124,28.5217,0.0957,0.0862,62.816,197.93,35.3425,22.4822,196.733,22.0,28.5165
23.13,27.8759,0.0622,0.0887,28.374,200.316,35.2835,22.6502,198.146,23.0,27.8705
24.135,27.574,0.0995,0.0923,53.182,203.198,35.3468,22.7961,197.755,24.0,27.5683
25.141,27.4482,0.0912,0.093,42.021,205.993,35.376,22.8587,199.959,25.0,27.4423
26.147,27.3018,0.1114,0.0924,40.026,205.229,35.4069,22.9293,201.333,26.0,27.2957
27.152,26.8895,0.1223,0.0945,46.378,203.929,35.4572,23.0995,202.757,27.0,26.8833
28.158,26.6131,0.1299,0.0975,36.692,205.439,35.4968,23.2172,203.871,28.0,26.6067
29.164,26.396,0.1514,0.1011,32.086,210.019,35.5229,23.3057,203.717,29.0,26.3894
30.169,26.2085,0.1922,0.1014,33.001,209.993,35.5392,23.377,200.493,30.0,26.2017
31.175,25.956,0.1995,0.1058,29.359,210.694,35.5724,23.4812,200.459,31.0,25.9491
32.181,25.5344,0.2098,0.1042,23.22,212.708,35.6273,23.6535,201.105,32.0,25.5273
33.187,24.7762,0.2081,0.1042,25.043,213.311,35.6233,23.8824,202.58,33.0,24.769
34.192,24.277,0.2273,0.1062,26.951,209.043,35.7025,24.093,203.37,34.0,24.2697
35.198,24.0687,0.2396,0.1018,18.938,211.357,35.6994,24.1528,202.982,35.0,24.0613
36.204,23.8785,0.2402,0.1008,22.178,210.478,35.723,24.2271,202.337,36.0,23.8709
37.209,23.6916,0.2262,0.1034,18.314,210.461,35.73,24.2877,201.736,37.0,23.6838
38.215,23.5599,0.2224,0.1003,18.269,209.583,35.7455,24.3382,201.129,38.0,23.552
39.221,23.4413,0.2407,0.0995,15.876,208.625,35.7491,24.3759,200.91,39.0,23.4331
40.227,23.3654,0.245,0.0999,13.119,208.264,35.7516,24.4,199.17,40.0,23.3571
41.233,23.2919,0.2529,0.0907,14.562,207.072,35.756,24.4248,195.224,41.0,23.2834
42.238,23.1891,0.2585,0.0907,12.08,206.756,35.7643,24.4611,191.756,42.0,23.1804
43.244,22.9357,0.3026,0.0926,9.834,206.819,35.7632,24.5337,190.485,43.0,22.9269
44.25,22.5396,0.4284,0.0975,12.575,202.982,35.8017,24.6768,187.598,44.0,22.5307
45.256,22.29,0.562,0.1074,8.9667,200.971,35.8015,24.7476,180.708,45.0,22.2809
46.261,22.1178,0.6899,0.1176,9.6901,195.719,35.8314,24.8191,166.317,46.0,22.1086
47.267,21.8946,0.8352,0.1242,6.8181,195.65,35.8077,24.864,160.559,47.0,21.8853
48.273,21.5396,0.9892,0.1361,8.0884,182.827,35.8122,24.9664,156.835,48.0,21.5302
49.279,21.2542,0.9689,0.1374,6.7272,172.202,35.7939,25.0313,155.882,49.0,21.2447
50.285,21.1065,0.938,0.1416,5.3191,160.216,35.8052,25.0806,153.205,50.0,21.0969
51.291,21.0294,1.0303,0.1475,5.1849,161.451,35.7981,25.0963,148.131,51.0,21.0195
52.296,20.9695,0.9623,0.1345,4.8113,158.951,35.803,25.1165,134.534,52.0,20.9594
53.302,20.8666,0.8532,0.137,3.167,159.96,35.8066,25.1473,130.0,53.0,20.8564
54.308,20.677,0.7383,0.1277,4.3312,155.176,35.83,25.2165,130.428,54.0,20.6667
55.314,20.201,0.6744,0.1228,2.9615,149.777,35.7607,25.2914,130.188,55.0,20.1907
56.32,20.0549,0.6956,0.1167,1.0079,134.103,35.7986,25.3593,129.189,56.0,20.0444
57.326,20.0584,0.6604,0.1175,1.8767,133.452,35.8049,25.3632,127.939,57.0,20.0478
58.332,20.0321,0.6802,0.118,1.7114,132.887,35.7935,25.3616,126.841,58.0,20.0212
59.337,20.0083,0.6501,0.1213,2.2063,133.012,35.7986,25.3718,126.153,59.0,19.9972
60.343,19.9715,0.6266,0.121,2.27,131.436,35.7976,25.3808,125.505,60.0,19.9604
61.349,19.9311,0.6326,0.1206,1.8942,130.773,35.7965,25.3906,125.406,61.0,19.9198
62.355,19.8975,0.5711,0.1218,1.7912,130.029,35.7952,25.3986,125.148,62.0,19.886
63.361,19.8855,0.6237,0.1185,1.7613,128.721,35.7943,25.4012,124.588,63.0,19.8738
64.367,19.8685,0.5791,0.1067,1.1713,128.615,35.7939,25.4053,123.467,64.0,19.8567
65.372,19.8488,0.568,0.0974,1.3541,128.109,35.8034,25.4179,121.01,65.0,19.8368
66.379,19.7736,0.5362,0.0937,0.66435,127.712,35.7846,25.4233,119.293,66.0,19.7614
67.384,19.7129,0.5231,0.0921,0.59532,127.552,35.787,25.4412,118.792,67.0,19.7006
68.39,19.6456,0.5252,0.0908,1.0127,123.267,35.7859,25.458,117.651,68.0,19.6331
69.396,19.5823,0.4723,0.089,1.0155,122.683,35.7847,25.4737,117.339,69.0,19.5696
70.402,19.5568,0.4556,0.0886,0.70122,121.886,35.7845,25.4802,117.571,70.0,19.544
71.408,19.5148,0.4679,0.0829,0.84428,121.0,35.7916,25.4967,117.526,71.0,19.5018
72.414,19.4714,0.4234,0.0818,0.80934,119.525,35.8132,25.5245,117.283,72.0,19.4582
