Pressure_db,Temperature_C,Fluorescence_mg_m3,BeamAttenuation_1_m,PAR,Oxygen_umol_L,Salinity_PSU,SigmaT_kg_m3,Oxygen_umol_kg,Depth_m,PotentialTemp_C,Nitrate_uM
4.023,29.6064,0.0458,0.0789,660.33,140.91,35.3205,22.1008,147.54,4.0,29.6055,-1.0679753449664429
5.028,29.6102,0.0253,0.0828,523.2,156.595,35.3205,22.0996,162.817,5.0,29.609,-1.0105006196922552
6.033,29.5541,0.038,0.0833,302.45,184.087,35.3261,22.1229,179.507,6.0,29.5526,-0.9401192527485354
7.039,29.4671,0.0231,0.0841,284.69,186.557,35.3286,22.1543,187.413,7.0,29.4654,-0.6419424486430199
8.045,29.4231,0.0322,0.0848,284.63,187.095,35.3271,22.1681,187.267,8.0,29.4211,-0.8027445724623785
9.05,29.3951,0.0291,0.0835,267.03,188.366,35.3267,22.1774,188.593,9.0,29.3929,-0.941847608634638
10.056,29.3724,0.0351,0.083,225.32,193.068,35.3236,22.1828,187.976,10.0,29.3699,-1.411743284810588
11.062,29.3534,0.0437,0.0828,332.32,191.908,35.3263,22.1913,188.342,11.0,29.3507,-1.693592200415347
12.067,29.3051,0.0321,0.0833,252.78,192.489,35.3216,22.2041,190.089,12.0,29.3021,-1.7295429053365337
13.073,29.2682,0.0364,0.0856,298.14,193.299,35.3223,22.2172,189.441,13.0,29.265,-1.0640321901144327
14.079,29.2036,0.0355,0.0837,352.68,192.117,35.3219,22.2386,191.361,14.0,29.2002,-1.611513480040016
15.084,29.1129,0.0404,0.0808,167.27,194.426,35.3112,22.2612,191.176,15.0,29.1092,-1.4100045696694168
16.09,28.9744,0.0373,0.0772,259.3,194.995,35.3031,22.3015,192.348,16.0,28.9705,-1.4369003800444007
17.095,28.7902,0.0465,0.081,196.38,196.116,35.2965,22.3581,191.088,17.0,28.7861,-1.6450112
18.101,28.5902,0.0443,0.0796,171.88,197.73,35.2855,22.4164,189.014,18.0,28.5858,-1.6439268790959116
19.107,28.1752,0.0464,0.0772,146.91,200.23,35.27,22.5416,196.691,19.0,28.1707,
20.113,27.9105,0.0677,0.0812,63.044,201.08,35.3195,22.6657,199.804,20.0,27.9057,0.3089629866666667
21.118,27.7365,0.0539,0.0788,211.53,199.796,35.3916,22.7767,201.019,21.0,27.7315,-0.0314372309669753
22.124,27.2661,0.0802,0.085,148.95,206.079,35.4168,22.9479,198.956,22.0,27.2609,1.0980444727005152
23.129,27.0694,0.0855,0.0891,184.32,207.344,35.447,23.034,196.487,23.0,27.064,-0.14565374838931833
24.135,26.8122,0.1034,0.0838,157.38,210.169,35.4983,23.1548,192.717,24.0,26.8067,1.3298193863077126
25.141,25.767,0.1621,0.097,157.92,210.709,35.5324,23.5085,192.005,25.0,25.7614,
26.147,25.0412,0.1652,0.1041,143.02,205.063,35.6099,23.7915,193.634,26.0,25.0355,3.9734086212092747
27.152,24.8226,0.2137,0.1153,129.42,205.207,35.6001,23.8506,197.129,27.0,24.8167,4.431402686582185
28.158,24.5459,0.2108,0.1281,155.34,196.457,35.6335,23.9596,200.247,28.0,24.5398,4.7752545063229075
29.164,24.3854,0.2427,0.1388,96.587,199.853,35.6496,24.0201,192.089,29.0,24.3792,4.8146407917631
30.169,24.1698,0.2172,0.1371,79.645,208.029,35.684,24.1107,177.807,30.0,24.1634,2.069446608645359
31.175,23.9231,0.3518,0.1396,74.142,205.836,35.6642,24.169,169.874,31.0,23.9166,3.876525706642075
32.181,23.4936,0.7888,0.1338,68.003,190.694,35.6791,24.3069,164.496,32.0,23.4869,2.6745305524653604
33.186,22.9251,1.035,0.1748,66.772,188.3,35.6756,24.4696,163.451,33.0,22.9183,3.1382349997724273
34.192,22.5995,0.962,0.1981,62.842,172.098,35.7111,24.5902,157.239,34.0,22.5925,2.299092911799546
35.198,22.1253,1.0332,0.2158,58.909,171.621,35.7326,24.7412,157.106,35.0,22.1183,1.4279913475503296
36.204,21.7638,1.0291,0.2111,54.292,170.608,35.7486,24.855,152.962,36.0,21.7567,2.1322591543349065
37.21,21.6671,0.9226,0.2035,43.385,164.416,35.7571,24.8885,144.315,37.0,21.6598,2.002039901719798
38.215,21.5134,0.9497,0.1936,47.966,161.305,35.7625,24.9353,140.224,38.0,21.5059,1.9044472002536121
39.221,21.089,0.8383,0.1694,41.348,160.403,35.7516,25.0438,139.11,39.0,21.0814,2.063775120054574
40.227,20.8492,0.7875,0.1565,40.006,148.131,35.7723,25.1252,138.028,40.0,20.8415,0.8284831170353978
41.233,20.7418,0.7946,0.1586,38.912,144.528,35.7714,25.1537,137.318,41.0,20.734,1.7435686506043298
42.238,20.6507,0.751,0.162,38.19,142.885,35.774,25.1803,136.276,42.0,20.6427,1.6362538865993388
43.244,20.6087,0.7242,0.1866,36.789,141.859,35.7747,25.1923,135.484,43.0,20.6005,1.559891855126965
44.25,20.5657,0.7598,0.1606,32.745,141.251,35.7752,25.2043,134.711,44.0,20.5574,1.0924107641317247
45.256,20.506,0.7226,0.1491,33.426,140.185,35.7758,25.2209,134.976,45.0,20.4975,0.6320933307682898
46.262,20.4371,0.7134,0.1474,28.809,138.616,35.7744,25.2384,133.73,46.0,20.4284,0.9324213904413707
47.267,20.3924,0.6572,0.1552,20.826,137.985,35.7749,25.2508,131.558,47.0,20.3835,2.218486339508862
48.273,20.3528,0.6246,0.1555,23.159,135.449,35.7793,25.2648,131.201,48.0,20.3438,1.796634273321959
49.279,20.3275,0.6186,0.2071,21.546,134.423,35.7772,25.27,129.891,49.0,20.3183,3.6535745957952788
