Pressure_db,Temperature_C,Fluorescence_mg_m3,BeamAttenuation_1_m,PAR,Oxygen_umol_L,Salinity_PSU,SigmaT_kg_m3,Oxygen_umol_kg,Depth_m,PotentialTemp_C
2.011,29.5483,0.0197,0.1307,0.11793,174.467,35.2334,22.055,169.968,2.0,29.5478
3.017,29.3584,0.0213,0.1314,0.118,174.487,35.2145,22.1051,170.77,3.0,29.3576
4.022,29.1954,0.0266,0.1358,0.11802,174.665,35.2163,22.1613,171.095,4.0,29.1944
5.028,29.1136,0.024,0.139,0.11795,175.069,35.2259,22.1961,171.229,5.0,29.1124
6.033,29.0988,0.0175,0.1405,0.11795,175.413,35.2276,22.2024,171.221,6.0,29.0974
7.039,29.0863,0.0376,0.1385,0.11796,175.279,35.2279,22.2069,171.586,7.0,29.0846
8.045,29.0758,0.0265,0.1433,0.11796,175.144,35.2296,22.2118,171.842,8.0,29.0739
9.05,29.0679,0.028,0.1457,0.118,175.271,35.2308,22.2154,171.415,9.0,29.0657
10.056,29.0617,0.0296,0.1398,0.11796,174.986,35.2325,22.2188,171.711,10.0,29.0593
11.062,29.0543,0.025,0.1414,0.11795,175.876,35.2347,22.223,172.004,11.0,29.0517
12.067,29.0471,0.027,0.1418,0.11796,175.493,35.2354,22.2261,171.692,12.0,29.0442
13.073,29.0396,0.0364,0.1408,0.11797,175.261,35.2357,22.2288,171.643,13.0,29.0365
14.079,29.0365,0.0339,0.1436,0.11798,175.835,35.2366,22.2307,171.636,14.0,29.0331
15.084,29.0328,0.0282,0.1441,0.11801,175.763,35.238,22.233,172.085,15.0,29.0292
16.09,29.0264,0.0307,0.1409,0.11801,175.599,35.2402,22.2369,171.767,16.0,29.0225
17.095,29.0188,0.0374,0.1441,0.11794,175.466,35.2437,22.2421,172.727,17.0,29.0147
18.101,28.9987,0.0428,0.1417,0.118,175.864,35.252,22.2552,173.473,18.0,28.9944
19.107,28.9107,0.0334,0.1419,0.118,176.108,35.2698,22.298,174.843,19.0,28.9061
20.113,28.7817,0.0473,0.1416,0.11793,176.358,35.2916,22.3575,175.88,20.0,28.7769
21.118,28.6427,0.0482,0.1479,0.11797,177.941,35.3108,22.4182,176.921,21.0,28.6376
22.124,28.5437,0.0463,0.1478,0.11801,179.198,35.3316,22.4668,178.477,22.0,28.5384
23.129,28.4294,0.0549,0.145,0.11804,180.544,35.3224,22.4977,180.447,23.0,28.4238
24.135,28.2639,0.0932,0.1508,0.11797,181.862,35.323,22.5528,183.242,24.0,28.2582
25.141,27.705,0.1605,0.1559,0.11793,183.732,35.341,22.7491,183.86,25.0,27.6992
26.146,27.0373,0.1841,0.1695,0.11798,188.285,35.4322,23.0332,184.614,26.0,27.0313
27.152,26.7091,0.2059,0.1719,0.11801,193.374,35.4821,23.1757,182.294,27.0,26.7029
28.158,26.4704,0.2113,0.1861,0.11797,194.347,35.4963,23.262,180.193,28.0,26.4641
29.164,26.027,0.2049,0.1901,0.11801,191.582,35.5555,23.4461,170.364,29.0,26.0205
30.169,25.5089,0.2698,0.1846,0.11805,192.554,35.5381,23.5939,169.869,30.0,25.5022
31.175,25.2623,0.558,0.1846,0.11795,186.874,35.5653,23.6904,168.258,31.0,25.2555
32.181,25.0022,0.627,0.2076,0.11799,180.025,35.566,23.7705,161.674,32.0,24.9952
33.187,24.5171,0.6791,0.2402,0.1179,175.125,35.6022,23.9448,157.25,33.0,24.51
34.192,23.8932,0.8536,0.2274,0.11796,176.445,35.6219,24.1459,155.706,34.0,23.886
35.198,23.232,0.8802,0.2318,0.11798,169.731,35.6783,24.383,155.89,35.0,23.2248
36.204,23.0397,0.7963,0.2367,0.11807,163.938,35.6912,24.4486,156.195,36.0,23.0322
37.21,22.765,0.7711,0.228,0.11793,161.475,35.7057,24.5388,154.702,37.0,22.7574
38.215,22.5706,0.8057,0.2236,0.11793,160.892,35.7271,24.6109,152.053,38.0,22.5629
39.221,22.5129,0.8402,0.2147,0.11791,161.236,35.7262,24.6267,151.201,39.0,22.505
40.227,22.3902,0.8813,0.2042,0.11797,159.572,35.7246,24.6605,151.308,40.0,22.3821
41.233,22.2985,0.8261,0.2053,0.11796,154.476,35.7269,24.6883,151.355,41.0,22.2902
