Pressure_db,Temperature_C,Fluorescence_mg_m3,BeamAttenuation_1_m,PAR,Oxygen_umol_L,Salinity_PSU,SigmaT_kg_m3,Oxygen_umol_kg,Depth_m,PotentialTemp_C,Nitrate_uM
3.016,29.7163,0.009,0.0855,594.89,154.705,35.3737,22.1034,144.769,3.0,29.7155,-0.9624036130240694
4.022,29.7242,0.0148,0.0887,361.18,157.376,35.3841,22.1086,152.404,4.0,29.7232,-0.5153918953093499
5.028,29.7015,0.0133,0.0949,399.81,196.338,35.3938,22.1236,190.768,5.0,29.7003,-0.709685190085449
6.033,29.6805,0.0251,0.0927,226.75,191.82,35.3942,22.1311,188.019,6.0,29.679,-0.9605346577508456
7.039,29.557,0.0257,0.0936,299.27,192.062,35.3877,22.1682,188.641,7.0,29.5553,-1.1057203315390998
8.045,29.4573,0.0272,0.0878,214.95,192.746,35.3891,22.2031,188.706,8.0,29.4554,-0.9001340882121347
9.05,29.3905,0.0275,0.0868,248.08,193.55,35.3881,22.225,189.391,9.0,29.3883,-0.5086870234074075
10.056,29.3741,0.0527,0.087,206.3,193.448,35.3884,22.2308,188.999,10.0,29.3716,-0.6479222583325407
11.062,29.3627,0.0308,0.0849,227.52,193.022,35.3878,22.2343,189.228,11.0,29.36,-0.734637253427
12.067,29.3572,0.0284,0.0873,216.15,193.679,35.3882,22.2366,189.105,12.0,29.3543,-1.3678074216296294
13.073,29.3508,0.0353,0.0823,216.24,193.298,35.39,22.2402,189.447,13.0,29.3476,-0.8035367101371298
14.079,29.3423,0.0346,0.0823,193.17,193.378,35.3901,22.2432,189.738,14.0,29.3389,-0.38285608225523865
15.084,29.3263,0.0268,0.0796,197.04,193.858,35.3899,22.2485,190.065,15.0,29.3226,-0.3222923361143525
16.09,29.2813,0.0351,0.0797,170.14,194.198,35.3874,22.2619,190.959,16.0,29.2774,-1.7552717405405405
17.096,29.1422,0.028,0.079,157.49,195.092,35.3653,22.2921,192.361,17.0,29.1381,-1.7291076709753233
18.101,28.9285,0.0351,0.0784,172.69,195.893,35.3469,22.35,194.488,18.0,28.9241,
19.107,28.6667,0.0393,0.085,152.44,197.878,35.3121,22.411,196.472,19.0,28.6621,-0.3231556956927122
20.113,28.2169,0.0441,0.0811,144.08,200.165,35.2812,22.5365,198.582,20.0,28.2122,-0.33220489898978484
