Pressure_db,Temperature_C,Fluorescence_mg_m3,BeamAttenuation_1_m,PAR,Oxygen_umol_L,Salinity_PSU,SigmaT_kg_m3,Oxygen_umol_kg,Depth_m,PotentialTemp_C,Nitrate_uM
2.011,29.5412,0.0215,0.0775,208.7,183.578,35.2309,22.0555,179.875,2.0,29.5407,
3.017,29.5504,0.0376,0.0779,110.14,183.373,35.2324,22.0536,179.485,3.0,29.5497,-0.5288980258336682
4.022,29.529,0.0286,0.0811,95.993,183.839,35.2306,22.0596,180.143,4.0,29.528,-0.5655979726109903
5.028,29.4781,0.0331,0.0778,98.201,183.917,35.2326,22.0784,179.525,5.0,29.4769,-0.3475300823752534
6.034,29.3627,0.0352,0.0799,89.857,183.605,35.2276,22.1137,179.942,6.0,29.3612,-0.07696257099369926
7.039,29.2826,0.0417,0.0811,84.185,184.279,35.2343,22.1457,180.39,7.0,29.2809,-0.2769339943188768
8.045,29.2106,0.0336,0.0833,78.946,185.643,35.2335,22.1695,180.746,8.0,29.2086,-0.20261107890638186
9.05,29.1709,0.0498,0.0868,83.835,184.324,35.2385,22.1866,180.813,9.0,29.1687,-0.3846696252869658
10.056,29.1561,0.0399,0.0885,81.186,184.789,35.2429,22.1949,181.565,10.0,29.1537,-0.6169443556988633
11.061,29.1404,0.033,0.0901,79.406,184.967,35.2486,22.2046,181.686,11.0,29.1377,-0.9683736857211425
12.067,29.1186,0.0407,0.0893,74.786,184.957,35.2532,22.2155,182.023,12.0,29.1157,-0.6489845661844597
13.073,29.08,0.0423,0.09,71.867,185.312,35.2598,22.2335,182.584,13.0,29.0768,-0.4500556032436033
14.079,29.0418,0.0383,0.0918,70.531,186.078,35.2679,22.2524,183.55,14.0,29.0384,-0.9196647040465161
15.084,28.9796,0.0392,0.0919,67.573,186.333,35.2765,22.2797,185.574,15.0,28.976,-0.5777059425016647
16.09,28.8646,0.0482,0.0968,67.802,187.04,35.2838,22.3237,187.478,16.0,28.8607,-0.4335766185797395
17.096,28.6974,0.0652,0.1026,61.827,188.451,35.2946,22.3876,188.999,17.0,28.6933,-0.5529852441982694
18.101,28.4607,0.0643,0.1031,51.034,190.576,35.3036,22.4728,188.208,18.0,28.4564,-0.8149482950156748
19.107,28.1976,0.0896,0.1108,55.125,193.371,35.3322,22.5811,187.762,19.0,28.193,-0.9227591813940409
20.112,27.9634,0.0957,0.114,46.136,196.424,35.3623,22.6807,188.157,20.0,27.9586,-1.0852146644823626
21.118,27.7581,0.0861,0.1203,45.223,195.649,35.3887,22.7675,190.241,21.0,27.7531,-0.954444848267225
22.124,27.5761,0.0805,0.1279,42.1,193.476,35.4152,22.8466,191.839,22.0,27.571,-1.0832856004475557
23.129,27.2557,0.1088,0.1206,33.801,194.027,35.438,22.9673,191.924,23.0,27.2503,-0.5151300619689261
24.135,26.6454,0.1199,0.1232,38.116,197.345,35.5108,23.2172,193.899,24.0,26.6399,-1.6855405330663504
25.141,25.9557,0.1406,0.1225,32.14,201.921,35.5595,23.4711,195.101,25.0,25.9501,-1.381650305656012
26.147,25.6966,0.1379,0.128,28.493,201.39,35.6061,23.587,194.756,26.0,25.6908,-0.6741287676541369
27.152,25.5793,0.1669,0.1216,26.16,202.214,35.6082,23.625,194.044,27.0,25.5733,-0.997237509758691
28.158,25.4152,0.1603,0.1197,25.361,201.935,35.6201,23.6846,193.576,28.0,25.409,-1.0578730566779202
29.164,25.0965,0.1855,0.12,23.131,201.9,35.6274,23.788,193.542,29.0,25.0901,-1.1519363467805617
30.169,24.7932,0.2049,0.1245,21.556,201.068,35.6546,23.9008,193.827,30.0,24.7867,-1.7314712866404292
31.175,24.4024,0.2294,0.1244,17.232,201.131,35.6737,24.0333,190.071,31.0,24.3958,-1.6011074445792093
32.181,24.1386,0.2454,0.1259,17.293,201.291,35.6955,24.1287,187.043,32.0,24.1317,-1.242553058259275
33.187,23.5632,0.2812,0.1258,16.559,202.509,35.7154,24.3139,184.674,33.0,23.5563,0.007413839209748044
34.192,22.9552,0.285,0.1283,14.942,198.435,35.7681,24.5313,174.191,34.0,22.9482,-0.8782170007913428
35.198,22.6941,0.2817,0.1403,13.065,195.198,35.7865,24.6204,160.975,35.0,22.6869,-0.8169302472455264
36.204,22.5225,0.3669,0.1321,12.477,193.004,35.8131,24.6897,158.443,36.0,22.5152,0.43987923078722313
37.21,21.9591,0.8359,0.1178,9.7819,192.781,35.7695,24.8161,164.332,37.0,21.9517,1.2785992630124248
38.215,21.5277,0.942,0.1279,10.104,167.675,35.81,24.9676,152.424,38.0,21.5202,2.8468714510966215
39.221,21.3682,0.9082,0.1528,7.4129,160.133,35.8535,25.0447,142.686,39.0,21.3606,2.465212706542296
40.227,21.1273,0.8448,0.1527,8.364,168.32,35.8251,25.0895,136.826,40.0,21.1195,3.1914874156117405
41.233,20.898,0.7421,0.1485,7.3867,157.491,35.8039,25.136,132.903,41.0,20.8901,4.528966039328134
42.238,20.6228,0.6445,0.1358,6.7391,145.99,35.8006,25.2081,126.93,42.0,20.6148,5.996331137265709
43.244,20.4826,0.6734,0.1332,5.4964,138.42,35.8098,25.2531,120.388,43.0,20.4744,6.359089880739523
44.25,20.3414,0.5777,0.1247,5.3459,136.831,35.8102,25.2912,115.869,44.0,20.3331,8.300887852770536
45.256,20.0047,0.4611,0.1197,5.3064,133.277,35.8008,25.3737,112.34,45.0,19.9963,7.0080403041822095
46.262,19.6713,0.3811,0.1139,4.5902,125.178,35.7967,25.4584,110.353,46.0,19.6628,4.0138423428118895
47.267,19.4617,0.3336,0.106,4.1699,117.987,35.802,25.5173,108.314,47.0,19.4532,5.677605658247559
48.273,19.3426,0.2795,0.0991,3.6239,115.692,35.8016,25.5479,106.527,48.0,19.3338,10.457436078253608
49.279,19.1888,0.2586,0.0941,3.6785,113.031,35.8029,25.5887,105.714,49.0,19.1799,10.44904606544844
50.285,19.0292,0.2055,0.0886,3.4019,110.694,35.7979,25.626,105.739,50.0,19.0202,10.527573556235827
51.291,19.0072,0.1998,0.0862,2.6848,108.433,35.802,25.6348,105.671,51.0,18.9981,11.32895480807311
52.296,19.0046,0.2022,0.08,2.6972,108.421,35.8014,25.6351,105.273,52.0,18.9952,11.614612075610628
53.302,18.9965,0.2044,0.0747,2.2817,108.33,35.8007,25.6367,104.639,53.0,18.987,11.735545071283275
54.308,18.9302,0.19,0.0725,2.4464,108.363,35.802,25.6547,104.238,54.0,18.9205,11.814065096047761
