Pressure_db,Temperature_C,Fluorescence_mg_m3,BeamAttenuation_1_m,PAR,Oxygen_umol_L,Salinity_PSU,SigmaT_kg_m3,Oxygen_umol_kg,Depth_m,PotentialTemp_C,Nitrate_uM
1.006,29.3917,0.0237,0.0843,1377.9,179.54,35.338,22.1863,175.778,1.0,29.3915,-1.0691579958002535
2.011,29.3427,0.0144,0.0835,1249.5,180.223,35.3365,22.2018,175.456,2.0,29.3422,
3.017,29.2174,0.0239,0.0812,1192.9,179.813,35.3199,22.2316,175.821,3.0,29.2167,
4.022,29.1426,0.016,0.0846,874.07,179.79,35.3336,22.2671,176.056,4.0,29.1416,
5.028,29.093,0.0147,0.0851,819.88,180.11,35.3346,22.2846,175.823,5.0,29.0918,-0.5103379356128774
6.034,29.0525,0.0309,0.0896,1020.0,180.53,35.3355,22.2989,176.045,6.0,29.051,-0.6713392520962739
7.039,29.0114,0.0322,0.0874,662.74,180.382,35.3354,22.3127,176.169,7.0,29.0097,-0.9454416221613752
8.045,28.9757,0.0294,0.091,617.67,180.378,35.3373,22.3261,176.791,8.0,28.9738,-1.0025984459729171
9.051,28.9183,0.0269,0.0948,642.98,180.255,35.3388,22.3465,176.424,9.0,28.9161,
10.056,28.8622,0.0436,0.1023,670.62,180.658,35.343,22.3685,176.811,10.0,28.8598,
11.062,28.7958,0.0396,0.0965,509.47,180.678,35.3447,22.392,176.258,11.0,28.7931,
12.067,28.7545,0.0361,0.1032,533.69,181.637,35.3491,22.4092,176.523,12.0,28.7516,-1.6658941166729018
13.073,28.7083,0.0545,0.1069,498.09,180.774,35.3529,22.4274,176.803,13.0,28.7051,-1.632477394986906
14.079,28.6526,0.0773,0.1102,434.46,181.443,35.3534,22.4464,177.26,14.0,28.6492,
15.084,28.5948,0.0716,0.1137,433.54,180.774,35.3578,22.469,177.375,15.0,28.5912,-1.4478677504206057
16.09,28.5331,0.0688,0.1136,390.34,181.251,35.3612,22.492,177.573,16.0,28.5293,-1.469896994895341
17.095,28.4723,0.1121,0.1188,352.21,181.516,35.3615,22.5125,177.533,17.0,28.4682,-1.455590843395674
18.101,28.3979,0.1018,0.1261,363.63,182.099,35.3681,22.5421,177.773,18.0,28.3936,
19.107,28.2992,0.1532,0.1255,260.6,182.461,35.3662,22.5733,178.157,19.0,28.2947,-1.2189124422598692
20.112,28.2188,0.1904,0.137,314.43,182.409,35.3731,22.605,178.513,20.0,28.214,-1.7853416448441364
21.118,28.0857,0.1958,0.1407,259.39,182.604,35.3794,22.6535,177.805,21.0,28.0807,-1.888429169883015
22.124,27.9544,0.2559,0.1485,245.38,183.186,35.3821,22.6986,177.841,22.0,27.9492,-1.8484757308782718
23.129,27.6948,0.2641,0.1594,206.76,184.022,35.4101,22.8044,174.538,23.0,27.6894,-1.7439943383058403
24.135,27.1729,0.3532,0.1604,202.4,185.186,35.4148,22.9764,174.506,24.0,27.1674,-1.1425479069899012
25.141,26.3776,0.3935,0.1706,201.59,186.159,35.4863,23.284,177.821,25.0,26.3719,-1.3449950651216358
26.146,25.882,0.433,0.1821,134.88,187.147,35.4816,23.4353,181.059,26.0,25.8762,-1.6638204615224046
27.152,25.4163,0.3892,0.2118,149.17,183.014,35.5731,23.6488,176.338,27.0,25.4104,-1.195164453823234
28.158,25.0982,0.5473,0.2073,125.0,185.626,35.5731,23.7463,171.82,28.0,25.0921,-1.658449997498716
29.164,24.8145,0.8119,0.2093,133.98,188.372,35.5926,23.8475,161.55,29.0,24.8082,-1.4730473913224138
30.169,24.6338,0.9691,0.2396,104.76,183.803,35.6053,23.9118,167.929,30.0,24.6273,-0.9645845444451423
31.175,24.0954,1.024,0.2602,96.514,177.953,35.633,24.0943,172.577,31.0,24.0888,-0.35548514094368344
32.181,23.4794,0.8292,0.2978,85.344,169.873,35.6818,24.3129,165.833,32.0,23.4728,-0.6645034059027588
33.186,23.0832,0.7662,0.2978,75.889,177.306,35.7462,24.4776,160.103,33.0,23.0764,-0.11599264420676902
34.192,22.8086,0.8875,0.2407,62.511,182.023,35.7311,24.5454,156.604,34.0,22.8016,-0.43226144425762875
35.198,22.6487,0.8705,0.2126,60.489,170.386,35.7459,24.6026,151.693,35.0,22.6416,-0.13032634009852212
36.204,22.4479,0.8199,0.2191,47.525,166.965,35.731,24.6487,146.865,36.0,22.4406,0.23132701420358548
37.209,22.3546,0.8191,0.2233,47.876,160.657,35.7422,24.6838,142.581,37.0,22.3471,0.5639743369079631
38.215,21.934,0.8735,0.2742,42.758,147.853,35.7435,24.8035,136.388,38.0,21.9265,1.3322084411720558
39.221,21.5662,0.9423,0.3391,38.087,138.437,35.7527,24.9134,136.456,39.0,21.5585,1.5496544845012423
