Pressure_db,Temperature_C,Fluorescence_mg_m3,BeamAttenuation_1_m,PAR,Oxygen_umol_L,Salinity_PSU,SigmaT_kg_m3,Oxygen_umol_kg,Depth_m,PotentialTemp_C
33.186,26.3221,0.2008,0.091,38.716,190.854,35.5076,23.3179,189.1,33.0,26.3147
34.192,25.8467,0.2357,0.1007,30.459,192.284,35.5546,23.5019,191.661,34.0,25.8391
35.198,25.3759,0.2032,0.1023,33.746,194.533,35.6332,23.7071,192.786,35.0,25.3682
36.204,24.9641,0.1956,0.1016,20.27,197.414,35.6037,23.8109,192.544,36.0,24.9563
37.21,24.7085,0.2028,0.1054,24.05,198.934,35.6449,23.9197,192.369,37.0,24.7005
38.215,24.3814,0.233,0.1003,25.521,202.022,35.6732,24.0397,189.886,38.0,24.3733
39.221,24.0283,0.2161,0.0956,18.338,201.736,35.6835,24.1529,185.112,39.0,24.02
40.227,23.6389,0.2667,0.0975,22.159,200.195,35.7279,24.3018,180.636,40.0,23.6305
41.233,23.0574,0.266,0.0921,17.443,199.775,35.7442,24.484,182.155,41.0,23.0489
42.238,22.7586,0.2975,0.092,17.294,193.917,35.782,24.5989,181.492,42.0,22.75
43.244,22.5613,0.3737,0.0888,16.103,186.042,35.826,24.6889,173.815,43.0,22.5526
44.25,22.3075,0.4354,0.0904,14.358,188.334,35.8308,24.7648,157.736,44.0,22.2987
45.256,22.0809,0.574,0.0908,13.011,187.468,35.8337,24.8312,146.498,45.0,22.0719
46.261,21.7375,0.6806,0.0951,11.153,180.093,35.776,24.8837,142.598,46.0,21.7284
47.267,21.4892,0.6674,0.1031,10.775,161.856,35.7712,24.9491,138.886,47.0,21.4799
48.273,21.3222,0.6984,0.1068,9.1054,150.585,35.7722,24.9961,137.587,48.0,21.3128
49.279,21.1405,0.7273,0.1103,8.409,148.842,35.7597,25.0365,137.173,49.0,21.131
50.285,21.044,0.6437,0.1105,7.9333,144.585,35.7661,25.0679,137.013,50.0,21.0344
51.291,20.9747,0.6516,0.1106,7.465,140.744,35.768,25.0883,139.373,51.0,20.9649
52.296,20.9417,0.6649,0.1071,6.4693,140.323,35.7678,25.0973,145.272,52.0,20.9317
53.302,20.9555,0.6202,0.1054,5.2535,140.201,35.7886,25.1093,141.721,53.0,20.9453
54.308,21.0043,0.4719,0.0881,5.4368,145.647,35.8742,25.1613,131.803,54.0,20.9939
55.314,20.8059,0.4395,0.0758,3.6421,151.014,35.878,25.2183,130.124,55.0,20.7954
56.32,20.6087,0.4152,0.066,4.2045,145.56,35.8898,25.2806,128.717,56.0,20.598
57.326,20.4831,0.4152,0.0582,3.5063,132.075,35.909,25.3293,126.278,57.0,20.4723
58.331,20.4123,0.3976,0.0523,3.61,133.637,35.9061,25.3461,123.974,58.0,20.4013
59.337,20.3406,0.3819,0.052,3.4852,130.808,35.9147,25.3719,121.858,59.0,20.3295
60.343,20.1992,0.3464,0.0472,3.2708,128.961,35.9115,25.4072,121.028,60.0,20.1879
61.349,20.1352,0.3002,0.045,2.6411,125.112,35.9127,25.4253,119.499,61.0,20.1238
62.355,20.0645,0.3465,0.0433,2.6452,124.563,35.9006,25.4349,117.268,62.0,20.0529
63.361,19.9568,0.3408,0.0442,2.1152,123.428,35.8659,25.437,115.124,63.0,19.9451
64.367,19.82,0.3647,0.0522,2.3641,122.5,35.8296,25.4454,113.491,64.0,19.8081
65.373,19.7291,0.3502,0.0616,1.9727,120.281,35.8294,25.4692,112.755,65.0,19.7171
66.378,19.5361,0.3544,0.0736,2.0046,118.538,35.7917,25.491,111.869,66.0,19.524
67.384,19.4388,0.3252,0.0867,1.3244,115.931,35.7949,25.5187,110.254,67.0,19.4265
68.39,19.3357,0.2989,0.0887,1.6353,114.99,35.7953,25.5459,110.313,68.0,19.3233
69.396,19.2112,0.2651,0.1007,1.4659,113.909,35.7917,25.5753,110.296,69.0,19.1987
70.402,19.1599,0.2507,0.0921,1.2506,113.321,35.7992,25.5944,109.509,70.0,19.1472
71.408,19.109,0.2688,0.0769,1.3009,113.445,35.7977,25.6064,108.643,71.0,19.0962
72.414,19.0373,0.222,0.072,1.1672,113.086,35.7991,25.6259,108.128,72.0,19.0243
73.42,19.0135,0.2172,0.0696,1.1091,112.127,35.818,25.6465,107.409,73.0,19.0004
74.426,19.0042,0.2265,0.0672,0.86714,111.056,35.8244,25.6538,107.158,74.0,18.9909
75.432,19.0141,0.2281,0.0623,0.8897,110.72,35.8384,25.662,107.017,75.0,19.0006
76.438,19.0336,0.2189,0.0516,0.91142,109.732,35.8513,25.6669,102.952,76.0,19.0199
77.444,19.0396,0.1975,0.0466,0.83995,109.521,35.8721,25.6813,100.722,77.0,19.0258
78.449,18.988,0.1917,0.0407,0.7514,108.436,35.8788,25.6997,101.623,78.0,18.974
79.456,18.9199,0.1795,0.0331,0.76112,103.785,35.8772,25.716,101.332,79.0,18.9057
80.461,18.812,0.1687,0.0289,0.70251,103.434,35.8616,25.7316,99.615,80.0,18.7977
81.467,18.7307,0.1814,0.0297,0.67768,104.85,35.8626,25.7531,98.981,81.0,18.7162
82.473,18.7112,0.1612,0.0296,0.64208,103.374,35.8717,25.7651,98.793,82.0,18.6966
83.479,18.6458,0.1557,0.0266,0.57152,101.501,35.8636,25.7755,98.477,83.0,18.631
84.485,18.5949,0.1559,0.0248,0.56878,101.522,35.8617,25.787,98.292,84.0,18.58
85.491,18.5484,0.1485,0.0229,0.5065,101.554,35.8583,25.7962,98.276,85.0,18.5334
86.497,18.5134,0.1591,0.0227,0.5068,100.975,35.857,25.804,97.773,86.0,18.4982
87.503,18.4745,0.1437,0.0211,0.4419,101.03,35.8537,25.8114,97.759,87.0,18.4592
88.509,18.4132,0.1273,0.0214,0.44632,100.761,35.8488,25.823,97.702,88.0,18.3977
89.515,18.3552,0.128,0.0207,0.39483,100.477,35.8435,25.8336,97.514,89.0,18.3396
90.521,18.2837,0.1465,0.0201,0.36206,100.641,35.8382,25.8475,97.277,90.0,18.2679
91.528,18.2182,0.1205,0.02,0.33929,100.557,35.8359,25.8622,97.25,91.0,18.2023
92.534,18.1653,0.1219,0.0198,0.32521,100.131,35.8332,25.8733,96.247,92.0,18.1493
93.54,18.0894,0.1201,0.0197,0.30795,99.933,35.8286,25.8887,95.267,93.0,18.0733
94.545,18.0144,0.1117,0.0194,0.27562,99.007,35.8292,25.9078,95.214,94.0,17.9981
95.551,17.9688,0.1162,0.0195,0.26601,98.378,35.8271,25.9175,94.816,95.0,17.9523
96.558,17.9405,0.1196,0.0177,0.2475,97.692,35.8278,25.9252,94.603,96.0,17.9239
97.564,17.9108,0.1054,0.0173,0.21415,97.804,35.8254,25.9307,94.117,97.0,17.894
98.57,17.8751,0.0995,0.017,0.21687,97.203,35.8247,25.939,93.722,98.0,17.8582
99.576,17.7823,0.0859,0.0174,0.19014,97.054,35.8149,25.9544,93.591,99.0,17.7653
100.582,17.7336,0.0951,0.016,0.17874,96.217,35.8137,25.9654,92.606,100.0,17.7165
101.588,17.6969,0.0836,0.0153,0.18193,96.485,35.8094,25.9712,91.819,101.0,17.6796
102.594,17.6136,0.0808,0.0151,0.15036,95.876,35.8011,25.9852,91.736,102.0,17.5962
103.6,17.5385,0.0747,0.0143,0.13848,94.959,35.7964,25.9999,91.353,103.0,17.5209
104.606,17.5131,0.0683,0.0147,0.12626,94.045,35.7974,26.0069,90.653,104.0,17.4955
105.612,17.476,0.0718,0.0131,0.12169,94.234,35.7907,26.0108,90.608,105.0,17.4582
106.618,17.418,0.0611,0.0135,0.11831,93.702,35.7874,26.0225,90.399,106.0,17.4
107.624,17.3834,0.0629,0.0126,0.11809,93.252,35.782,26.0268,90.47,107.0,17.3653
108.63,17.365,0.0611,0.0121,0.11794,92.942,35.7823,26.0315,90.42,108.0,17.3467
109.637,17.3472,0.0624,0.0127,0.11798,92.82,35.7799,26.034,90.27,109.0,17.3288
110.643,17.3197,0.0542,0.0142,0.11799,92.826,35.7775,26.0389,90.139,110.0,17.3011
111.649,17.2746,0.0599,0.0127,0.11796,93.004,35.7718,26.0453,90.053,111.0,17.2559
112.655,17.2495,0.0588,0.0125,0.11801,92.91,35.7711,26.0509,90.147,112.0,17.2307
113.661,17.2462,0.0519,0.0118,0.11801,92.607,35.7717,26.0522,90.29,113.0,17.2272
114.667,17.2453,0.0631,0.0122,0.11801,92.555,35.7714,26.0522,90.237,114.0,17.2261
115.673,17.2419,0.0632,0.0117,0.11801,92.609,35.7703,26.0523,90.294,115.0,17.2225
116.68,17.2324,0.0545,0.0116,0.11797,92.657,35.7696,26.0541,90.509,116.0,17.2129
117.686,17.2095,0.0598,0.0113,0.11803,92.665,35.7664,26.0572,90.822,117.0,17.1898
118.692,17.1792,0.054,0.0116,0.11792,92.938,35.7643,26.0629,90.725,118.0,17.1595
119.698,17.1286,0.0477,0.0105,0.11799,93.15,35.7579,26.0702,90.388,119.0,17.1087
120.704,17.0838,0.045,0.0109,0.11798,93.595,35.7552,26.0788,90.093,120.0,17.0637
121.71,17.0459,0.045,0.0098,0.11798,93.505,35.7513,26.0849,90.245,121.0,17.0257
122.716,17.0068,0.0471,0.0097,0.118,92.85,35.7494,26.0929,91.681,122.0,16.9864
123.723,16.957,0.0318,0.0086,0.11798,92.564,35.743,26.0999,92.207,123.0,16.9365
124.729,16.8958,0.0513,0.0087,0.11796,94.251,35.7415,26.1134,94.333,124.0,16.8752
125.735,16.8514,0.0296,0.0084,0.11802,95.366,35.7353,26.1191,93.358,125.0,16.8307
126.741,16.8393,0.0389,0.0086,0.11798,97.463,35.7356,26.1223,93.1,126.0,16.8185
127.747,16.8303,0.0379,0.0084,0.11796,97.109,35.7345,26.1236,93.874,127.0,16.8093
128.754,16.7974,0.0328,0.0087,0.11807,95.793,35.7301,26.128,94.573,128.0,16.7763
129.76,16.7716,0.0357,0.0085,0.11801,95.404,35.7294,26.1337,95.832,129.0,16.7503
130.766,16.767,0.029,0.0088,0.11801,96.664,35.7296,26.135,96.482,130.0,16.7455
131.772,16.7626,0.0356,0.0095,0.11799,98.198,35.729,26.1356,94.418,131.0,16.741
132.778,16.7153,0.0289,0.0096,0.11801,99.347,35.723,26.1422,93.718,132.0,16.6936
133.784,16.6621,0.0197,0.0083,0.11802,97.837,35.7183,26.1512,92.867,133.0,16.6402
134.791,16.6519,0.0273,0.007,0.11804,96.573,35.7177,26.1532,92.124,134.0,16.6299
135.797,16.6465,0.0294,0.0066,0.11807,95.642,35.717,26.1539,92.031,135.0,16.6244
136.803,16.6235,0.0294,0.0067,0.11806,95.233,35.7129,26.1563,92.212,136.0,16.6011
137.81,16.5829,0.0175,0.0074,0.11799,94.307,35.7092,26.1629,92.384,137.0,16.5604
138.816,16.5588,0.0111,0.0074,0.11802,94.546,35.7075,26.1674,92.77,138.0,16.5362
139.822,16.5468,0.0272,0.0065,0.11799,94.887,35.7057,26.1688,93.176,139.0,16.524
140.828,16.5303,0.0095,0.0074,0.11799,95.166,35.7038,26.1713,93.483,140.0,16.5074
141.835,16.4952,0.0148,0.0075,0.11802,95.801,35.6994,26.1762,93.741,141.0,16.4722
142.841,16.461,0.0118,0.0083,0.11805,95.889,35.6962,26.1817,93.911,142.0,16.4379
143.847,16.4425,0.0132,0.0078,0.11804,96.236,35.6957,26.1857,94.631,143.0,16.4192
144.853,16.4318,0.0151,0.0074,0.11803,96.364,35.695,26.1877,96.168,144.0,16.4084
145.86,16.4239,0.0128,0.0064,0.118,96.79,35.695,26.1896,97.162,145.0,16.4003
146.866,16.4104,0.0119,0.0077,0.11807,98.017,35.6944,26.1923,97.237,146.0,16.3867
147.872,16.3962,0.0093,0.0065,0.11803,99.547,35.6934,26.1949,96.879,147.0,16.3723
148.879,16.3751,0.0188,0.0057,0.11806,100.29,35.6911,26.1981,96.754,148.0,16.3511
149.885,16.358,0.0148,0.0057,0.11805,99.713,35.6895,26.2009,96.075,149.0,16.3338
150.891,16.3453,0.0056,0.0048,0.11804,99.44,35.6879,26.2027,94.99,150.0,16.3209
151.898,16.3223,0.0135,0.0154,0.11806,99.059,35.6848,26.2057,93.993,151.0,16.2978
152.904,16.296,-0.0002,0.0051,0.11805,98.576,35.6814,26.2092,93.475,152.0,16.2713
153.91,16.2761,0.0116,0.0041,0.11803,97.124,35.6802,26.2129,92.701,153.0,16.2513
154.916,16.2572,0.016,0.0041,0.11804,96.321,35.6772,26.215,91.006,154.0,16.2323
155.923,16.2372,0.0146,0.0053,0.11802,95.268,35.6743,26.2175,89.484,155.0,16.2121
156.929,16.2208,-0.0051,0.0046,0.11804,93.508,35.6723,26.2197,89.144,156.0,16.1957
157.935,16.2088,0.0098,0.0047,0.11806,91.992,35.6702,26.2209,89.341,157.0,16.1835
158.942,16.2004,-0.0047,0.0047,0.11798,91.518,35.6695,26.2224,89.647,158.0,16.1749
159.948,16.1923,0.0006,0.005,0.11806,91.421,35.6685,26.2236,89.594,159.0,16.1666
160.954,16.1862,-0.0089,0.0048,0.11802,91.821,35.6676,26.2243,89.682,160.0,16.1605
161.961,16.1795,0.0019,0.0051,0.11803,92.067,35.6665,26.2251,89.497,161.0,16.1535
162.967,16.1722,-0.0028,0.0046,0.11804,92.176,35.6654,26.2259,89.415,162.0,16.1461
163.973,16.1639,0.0009,0.0044,0.11804,91.94,35.6644,26.2271,89.177,163.0,16.1377
164.98,16.1535,0.0113,0.0036,0.11808,91.928,35.6627,26.2282,89.121,164.0,16.1271
165.986,16.1443,-0.0065,0.0038,0.11805,91.638,35.6623,26.2301,89.09,165.0,16.1178
