Pressure_db,Temperature_C,Fluorescence_mg_m3,BeamAttenuation_1_m,PAR,Oxygen_umol_L,Salinity_PSU,SigmaT_kg_m3,Oxygen_umol_kg,Depth_m,PotentialTemp_C
1.005,29.7721,0.0257,0.0604,290.61,181.374,35.0607,21.8495,177.251,1.0,29.7718
2.011,29.7574,0.0279,0.0624,381.85,182.891,35.06,21.854,178.437,2.0,29.7569
3.016,29.7173,0.0306,0.0627,284.77,182.847,35.0595,21.8673,178.602,3.0,29.7166
4.022,29.6807,0.0292,0.0575,196.32,182.728,35.0588,21.8793,178.628,4.0,29.6797
5.028,29.6315,0.0356,0.0614,158.89,183.156,35.0557,21.8937,178.83,5.0,29.6303
6.034,29.497,0.0394,0.0605,114.37,183.262,35.0499,21.935,179.212,6.0,29.4955
7.039,29.3192,0.0325,0.0622,135.03,183.601,35.0397,21.9874,180.015,7.0,29.3175
8.045,29.2349,0.0336,0.0643,172.97,184.03,35.0465,22.0209,180.02,8.0,29.2329
9.051,29.2144,0.0343,0.0642,137.12,184.175,35.0471,22.0283,179.754,9.0,29.2122
10.056,29.2042,0.0324,0.0646,127.54,184.154,35.0487,22.0331,180.122,10.0,29.2017
11.062,29.1967,0.0389,0.0644,128.47,184.414,35.0491,22.036,180.066,11.0,29.194
12.067,29.1885,0.0365,0.0625,121.07,183.788,35.0488,22.0386,180.114,12.0,29.1856
13.073,29.1786,0.0382,0.0631,113.04,183.9,35.0473,22.0408,180.247,13.0,29.1754
14.078,29.1734,0.0385,0.0618,110.72,184.27,35.0483,22.0434,180.423,14.0,29.17
15.084,29.1686,0.0445,0.0605,96.445,184.144,35.0478,22.0448,180.555,15.0,29.1649
16.09,29.163,0.0344,0.0629,102.16,184.231,35.0485,22.0472,180.266,16.0,29.1591
17.095,29.1586,0.0399,0.0621,96.477,184.383,35.0486,22.0488,180.288,17.0,29.1545
18.101,29.1548,0.0461,0.0591,86.654,184.613,35.0493,22.0508,180.448,18.0,29.1504
19.107,29.15,0.0384,0.0597,86.612,184.744,35.0498,22.0528,180.389,19.0,29.1453
20.112,29.1461,0.0389,0.0635,87.042,184.234,35.0501,22.0544,180.52,20.0,29.1412
21.118,29.1429,0.0484,0.063,79.088,184.388,35.0499,22.0554,180.885,21.0,29.1378
22.124,29.1399,0.0452,0.0635,76.075,184.557,35.0503,22.0568,181.701,22.0,29.1345
23.129,29.1149,0.0489,0.0657,72.763,184.466,35.0482,22.0637,182.25,23.0,29.1093
24.135,28.9812,0.0555,0.0637,68.612,185.149,35.0446,22.1058,183.726,24.0,28.9754
25.141,28.8685,0.0578,0.068,61.696,186.456,35.0561,22.1521,184.337,25.0,28.8624
26.147,28.5262,0.0607,0.0675,56.976,188.013,35.1084,22.305,183.33,26.0,28.5199
27.152,28.077,0.0826,0.0695,48.96,189.841,35.2077,22.5277,183.149,27.0,28.0706
28.158,27.9712,0.0923,0.0738,46.396,191.834,35.2607,22.6023,183.249,28.0,27.9646
29.164,27.8919,0.0897,0.0768,46.682,191.905,35.3147,22.6689,183.005,29.0,27.8851
30.169,27.6826,0.122,0.0768,46.858,190.395,35.3811,22.787,183.051,30.0,27.6755
31.175,27.2651,0.1359,0.0761,43.002,189.153,35.4288,22.958,183.961,31.0,27.2579
32.181,26.8968,0.1543,0.0771,38.231,190.113,35.4599,23.0994,185.747,32.0,26.8895
