Pressure_db,Temperature_C,Fluorescence_mg_m3,BeamAttenuation_1_m,PAR,Oxygen_umol_L,Salinity_PSU,SigmaT_kg_m3,Oxygen_umol_kg,Depth_m,PotentialTemp_C
109.637,17.1143,0.0584,0.0257,0.55906,99.453,35.7595,26.0744,99.067,109.0,17.0961
110.643,17.02,0.0486,0.0273,0.54095,99.237,35.7431,26.0844,99.442,110.0,17.0016
111.649,16.9442,0.0491,0.025,0.59422,102.473,35.7441,26.1033,100.064,111.0,16.9258
112.655,16.9076,0.0322,0.0242,0.62811,102.49,35.7402,26.1091,100.351,112.0,16.889
113.661,16.8956,0.0387,0.0241,0.61573,102.907,35.7393,26.1112,100.537,113.0,16.8769
114.667,16.8837,0.0333,0.0257,0.54197,103.04,35.7383,26.1133,99.733,114.0,16.8649
115.673,16.8681,0.0366,0.0242,0.3848,103.132,35.7355,26.115,98.454,115.0,16.8491
116.679,16.8566,0.032,0.0238,0.51579,103.303,35.7353,26.1176,98.584,116.0,16.8374
117.686,16.8266,0.0283,0.0242,0.5004,103.331,35.7324,26.1225,101.386,117.0,16.8073
118.692,16.7477,0.0385,0.0283,0.46129,102.366,35.722,26.1332,102.857,118.0,16.7283
119.698,16.6951,0.0324,0.0232,0.47803,101.319,35.7207,26.1447,104.295,119.0,16.6755
120.704,16.6859,0.0255,0.0217,0.4432,105.175,35.7197,26.1461,104.8,120.0,16.6662
121.71,16.6805,0.0078,0.0224,0.37355,107.397,35.7192,26.147,104.953,121.0,16.6606
122.716,16.6777,0.0221,0.022,0.37458,107.548,35.7189,26.1475,104.918,122.0,16.6576
123.723,16.6783,0.0255,0.0203,0.38576,107.972,35.7187,26.1473,104.459,123.0,16.6581
124.729,16.676,0.0252,0.0204,0.34995,107.844,35.7182,26.1475,104.366,124.0,16.6556
125.735,16.6706,0.0264,0.0215,0.33692,107.759,35.717,26.1479,103.413,125.0,16.6501
126.741,16.6624,0.0176,0.0217,0.33749,107.495,35.7163,26.1493,101.757,126.0,16.6417
127.747,16.6346,0.016,0.0229,0.29923,107.259,35.7121,26.1527,99.818,127.0,16.6137
128.754,16.6,0.021,0.0231,0.30443,106.562,35.7092,26.1586,98.691,128.0,16.5791
129.76,16.5554,0.0228,0.0219,0.28392,104.099,35.7037,26.1649,97.854,129.0,16.5343
130.766,16.5355,0.0159,0.0218,0.22979,101.454,35.7029,26.169,97.054,130.0,16.5143
131.772,16.5271,0.0061,0.0217,0.24868,100.81,35.7022,26.1705,96.239,131.0,16.5057
132.778,16.5105,0.0159,0.0227,0.26848,100.076,35.7005,26.1731,99.983,132.0,16.489
133.784,16.4613,0.0147,0.0217,0.12464,99.605,35.6921,26.1782,100.323,133.0,16.4396
134.791,16.4245,0.0133,0.0221,0.15166,99.03,35.6917,26.1865,100.858,134.0,16.4027
135.797,16.391,0.0147,0.0218,0.12728,103.286,35.6839,26.1884,100.801,135.0,16.369
136.803,16.3695,0.0176,0.0213,0.12641,103.527,35.6884,26.1969,100.643,136.0,16.3474
137.809,16.3331,0.0036,0.0211,0.14694,103.632,35.6815,26.2,99.812,137.0,16.3109
138.816,16.3063,0.0016,0.0208,0.16043,103.498,35.6815,26.2063,98.739,138.0,16.2839
139.822,16.2784,0.0117,0.0211,0.14157,102.981,35.6778,26.21,97.615,139.0,16.2559
140.828,16.2648,-0.0108,0.0203,0.13033,102.006,35.6769,26.2126,96.797,140.0,16.2421
141.835,16.2406,0.0444,0.0202,0.11885,101.476,35.6749,26.2167,96.533,141.0,16.2178
142.841,16.1938,0.0103,0.0197,0.11937,101.065,35.6669,26.2213,96.377,142.0,16.1709
143.847,16.1572,-0.002,0.0194,0.11994,99.567,35.6644,26.2279,95.409,143.0,16.1342
144.853,16.134,-0.0139,0.0195,0.11897,98.961,35.6604,26.2302,93.416,144.0,16.1109
145.86,16.1174,-0.0029,0.0195,0.1181,98.464,35.6589,26.2329,92.272,145.0,16.0942
146.866,16.0821,-0.011,0.0194,0.11802,97.444,35.6547,26.2379,91.52,146.0,16.0587
147.872,16.0314,-0.0014,0.0195,0.11805,95.928,35.6476,26.2442,90.442,147.0,16.0078
148.878,15.9731,-0.0076,0.0197,0.11809,94.373,35.6396,26.2514,90.094,148.0,15.9495
149.885,15.9287,-0.0159,0.0202,0.11802,93.876,35.6351,26.2581,89.961,149.0,15.905
150.891,15.9078,-0.0159,0.0194,0.11804,92.215,35.6332,26.2615,89.881,150.0,15.8839
151.897,15.8971,-0.013,0.019,0.11805,92.418,35.6312,26.2625,89.933,151.0,15.873
152.904,15.8849,-0.0095,0.0209,0.11805,92.192,35.6298,26.2641,90.006,152.0,15.8608
153.91,15.8739,0.0103,0.0194,0.11811,92.142,35.6286,26.2658,89.772,153.0,15.8496
154.916,15.8643,-0.0138,0.0188,0.11798,92.355,35.627,26.2668,89.524,154.0,15.8399
155.923,15.8517,-0.0098,0.0189,0.11805,92.386,35.6254,26.2685,88.557,155.0,15.827
156.929,15.8307,-0.001,0.0196,0.11808,91.955,35.6227,26.2712,86.73,156.0,15.806
157.935,15.8028,-0.007,0.0188,0.11805,91.558,35.619,26.2748,85.335,157.0,15.778
158.942,15.7717,-0.0198,0.0187,0.11809,90.062,35.6155,26.2792,84.868,158.0,15.7466
159.948,15.7266,-0.0207,0.0189,0.11805,89.196,35.608,26.2837,84.563,159.0,15.7015
160.954,15.6946,-0.0075,0.0191,0.11805,86.737,35.6057,26.2892,84.39,160.0,15.6694
161.961,15.6691,-0.0014,0.0187,0.11807,86.757,35.6008,26.2913,84.282,161.0,15.6437
162.967,15.6527,-0.0192,0.0184,0.11809,86.341,35.5998,26.2942,83.952,162.0,15.6272
163.974,15.6349,-0.0089,0.0184,0.11803,86.608,35.5969,26.296,83.873,163.0,15.6093
164.98,15.6172,-0.0097,0.0183,0.11808,86.46,35.5949,26.2986,83.569,164.0,15.5915
165.986,15.6065,-0.0187,0.0178,0.11809,86.318,35.5936,26.3001,82.828,165.0,15.5806
166.993,15.5835,-0.0145,0.0173,0.11808,86.04,35.5903,26.3027,82.124,166.0,15.5575
167.999,15.5352,-0.0113,0.0173,0.11808,85.825,35.5839,26.3087,82.215,167.0,15.5091
169.005,15.5109,-0.0147,0.017,0.11805,85.373,35.5815,26.3124,81.856,168.0,15.4846
170.012,15.5028,-0.0105,0.0168,0.1181,84.232,35.5816,26.3143,81.525,169.0,15.4764
171.018,15.4924,-0.0122,0.0171,0.11804,84.219,35.5788,26.3145,81.368,170.0,15.4658
172.025,15.4805,-0.0022,0.0172,0.11811,83.855,35.5765,26.3154,80.984,171.0,15.4538
173.031,15.4656,-0.0064,0.017,0.11807,83.669,35.5747,26.3174,80.481,172.0,15.4388
174.037,15.4404,-0.0195,0.0166,0.11807,83.483,35.57,26.3195,79.548,173.0,15.4134
175.044,15.4128,0.0039,0.0187,0.1181,83.061,35.5683,26.3245,78.562,174.0,15.3857
176.05,15.3497,-0.0094,0.017,0.1181,82.513,35.5556,26.3288,78.053,175.0,15.3226
177.057,15.2893,0.0044,0.0176,0.11809,81.85,35.5518,26.3394,77.665,176.0,15.262
178.063,15.2398,-0.0052,0.0168,0.11806,80.737,35.5471,26.3468,76.711,177.0,15.2125
179.07,15.1608,-0.0074,0.0173,0.11808,80.054,35.5331,26.3536,76.661,178.0,15.1334
180.076,15.1259,-0.0028,0.0168,0.11805,79.485,35.5324,26.3608,76.37,179.0,15.0983
181.083,15.116,-0.0169,0.0165,0.11811,78.474,35.5313,26.3622,75.343,180.0,15.0884
182.089,15.1017,0.0102,0.0167,0.11809,78.486,35.5318,26.3658,74.322,181.0,15.0739
183.095,15.0191,-0.0136,0.0178,0.1181,78.343,35.5116,26.3685,74.316,182.0,14.9912
184.102,14.9505,0.0075,0.0176,0.11809,77.45,35.5061,26.3793,74.215,183.0,14.9226
185.108,14.8845,0.0042,0.0177,0.11809,76.408,35.5005,26.3896,73.501,184.0,14.8565
186.115,14.8048,-0.0097,0.0188,0.11811,76.334,35.4915,26.4001,73.128,185.0,14.7768
187.122,14.7388,0.0001,0.0233,0.11808,76.068,35.4878,26.4117,72.449,186.0,14.7107
188.128,14.7075,-0.0101,0.0238,0.11812,75.358,35.4818,26.4138,71.964,187.0,14.6793
189.134,14.6947,-0.0047,0.0255,0.11807,74.978,35.4808,26.4159,71.465,188.0,14.6663
190.141,14.6823,0.0094,0.0255,0.11811,74.011,35.4771,26.4158,70.735,189.0,14.6538
191.147,14.6624,-0.0036,0.0256,0.11812,72.947,35.478,26.4209,67.871,190.0,14.6338
192.154,14.5487,-0.0061,0.026,0.11814,72.822,35.4535,26.4265,66.343,191.0,14.5201
193.16,14.483,0.0012,0.0196,0.11815,69.461,35.4558,26.4425,65.211,192.0,14.4543
194.167,14.4361,0.0015,0.0191,0.11813,68.55,35.447,26.4458,64.878,193.0,14.4073
195.173,14.3784,0.0064,0.0185,0.11808,68.02,35.4382,26.4515,63.92,194.0,14.3496
196.18,14.3232,0.0009,0.0191,0.11816,66.883,35.4317,26.4582,63.16,195.0,14.2943
197.186,14.2464,0.0054,0.0186,0.1181,66.305,35.4222,26.4673,62.61,196.0,14.2174
198.193,14.1515,0.0014,0.018,0.11807,65.162,35.4119,26.4796,62.304,197.0,14.1226
199.2,14.0629,-0.0039,0.0182,0.11802,63.579,35.3998,26.4891,63.259,198.0,14.0339
