Pressure_db,Temperature_C,Fluorescence_mg_m3,BeamAttenuation_1_m,PAR,Oxygen_umol_L,Salinity_PSU,SigmaT_kg_m3,Oxygen_umol_kg,Depth_m,PotentialTemp_C
2.011,29.8288,0.0042,0.0714,695.53,189.33,35.397,22.0824,184.984,2.0,29.8283
3.017,29.785,0.0144,0.0723,734.19,190.347,35.3928,22.0943,185.372,3.0,29.7842
4.022,29.6933,0.0166,0.0734,838.44,190.483,35.386,22.1204,187.129,4.0,29.6924
5.028,29.6039,0.0184,0.0721,585.45,190.62,35.3892,22.1533,186.97,5.0,29.6026
6.034,29.5375,0.0739,0.0765,586.94,190.7,35.388,22.1749,187.521,6.0,29.5361
7.039,29.4919,0.0337,0.0748,607.6,191.91,35.3894,22.1916,187.186,7.0,29.4902
8.045,29.4619,0.0238,0.0747,465.4,191.807,35.3931,22.2046,187.765,8.0,29.46
9.051,29.4376,0.0534,0.0769,500.43,191.76,35.3914,22.2116,187.458,9.0,29.4354
10.056,29.4296,0.0248,0.075,482.65,192.002,35.3929,22.2155,188.186,10.0,29.4271
11.061,29.422,0.0416,0.0773,460.0,191.549,35.3924,22.2178,188.788,11.0,29.4193
12.067,29.4179,0.0386,0.0746,431.75,192.051,35.393,22.2197,188.091,12.0,29.415
13.073,29.4116,0.0297,0.0743,346.97,191.785,35.3921,22.2212,188.41,13.0,29.4084
14.079,29.4019,0.0269,0.0747,307.23,192.959,35.3904,22.2233,188.788,14.0,29.3984
15.084,29.3974,0.1036,0.0718,306.19,192.575,35.391,22.2253,188.626,15.0,29.3937
16.09,29.3865,0.0336,0.074,354.75,192.431,35.3896,22.2281,189.124,16.0,29.3825
17.095,29.3673,0.0311,0.0783,318.94,192.94,35.3869,22.2326,183.725,17.0,29.3631
18.101,29.3491,0.0348,0.0741,338.24,192.752,35.3849,22.2373,183.575,18.0,29.3447
19.107,29.3302,0.0395,0.0731,221.71,193.264,35.385,22.2439,188.349,19.0,29.3256
20.113,29.2825,0.0426,0.0737,43.471,194.252,35.3723,22.2504,180.969,20.0,29.2776
21.118,29.2612,0.0465,0.0722,153.24,190.819,35.3747,22.2595,182.43,21.0,29.256
22.124,29.2134,0.04,0.0743,57.228,196.485,35.3675,22.2702,188.913,22.0,29.208
23.13,29.1459,0.0382,0.0736,119.33,190.799,35.3707,22.2955,189.142,23.0,29.1403
24.135,29.0574,0.0415,0.0757,128.68,190.017,35.3429,22.3043,190.333,24.0,29.0516
25.141,28.9823,0.0426,0.0778,128.78,194.114,35.3437,22.3301,191.578,25.0,28.9762
26.147,28.794,0.0662,0.0805,88.825,195.742,35.3164,22.3726,196.112,26.0,28.7877
27.152,28.4046,0.0771,0.0845,13.37,197.171,35.3025,22.4912,197.25,27.0,28.3981
28.158,27.838,0.0884,0.0856,148.95,199.133,35.2673,22.6506,197.977,28.0,27.8314
29.164,27.4744,0.1127,0.0902,137.62,205.921,35.3456,22.8278,199.309,29.0,27.4676
30.169,27.1184,0.1248,0.0952,89.078,206.832,35.4035,22.986,200.039,30.0,27.1114
31.175,26.8196,0.1202,0.0918,117.67,206.912,35.45,23.1166,201.286,31.0,26.8125
32.181,26.6124,0.1293,0.0907,82.964,206.623,35.4749,23.2013,201.351,32.0,26.6051
33.187,26.3229,0.1433,0.0927,112.47,208.202,35.5307,23.3349,202.028,33.0,26.3155
34.193,26.004,0.15,0.0928,34.172,209.497,35.5479,23.4479,202.623,34.0,25.9963
35.198,25.6251,0.1791,0.0945,90.21,210.413,35.6023,23.6068,203.235,35.0,25.6173
36.204,25.2357,0.1799,0.0955,46.464,211.447,35.606,23.7297,202.691,36.0,25.2278
37.209,24.9789,0.1905,0.0961,88.728,210.672,35.66,23.8491,203.378,37.0,24.9708
38.215,24.6618,0.1797,0.0985,24.985,212.504,35.655,23.9415,203.421,38.0,24.6536
39.221,24.296,0.1703,0.0985,37.282,212.016,35.6821,24.072,202.415,39.0,24.2877
40.227,23.9984,0.1865,0.0871,36.653,212.737,35.7053,24.1784,198.524,40.0,23.9899
41.233,23.4905,0.2017,0.0863,30.523,212.338,35.7181,24.3379,196.986,41.0,23.4819
42.238,23.1814,0.2247,0.0854,25.979,208.866,35.7725,24.4695,194.016,42.0,23.1727
43.244,23.0356,0.2103,0.082,23.534,204.407,35.7764,24.5149,192.392,43.0,23.0267
44.25,22.8242,0.2408,0.0841,33.803,205.183,35.7874,24.5843,190.715,44.0,22.8152
45.256,22.5703,0.2682,0.0808,47.968,199.841,35.8028,24.6688,187.47,45.0,22.5612
46.262,22.3448,0.2621,0.0833,40.692,199.583,35.8173,24.7441,185.005,46.0,22.3356
47.267,22.1805,0.3055,0.0845,39.901,196.277,35.8281,24.7989,177.339,47.0,22.1711
48.273,22.0509,0.3267,0.081,33.996,191.971,35.8396,24.8443,171.607,48.0,22.0413
49.279,21.7825,0.4343,0.0836,30.756,191.804,35.835,24.9162,166.993,49.0,21.7728
50.285,21.5576,0.5549,0.0841,31.303,184.781,35.8463,24.9874,164.344,50.0,21.5478
51.29,21.3899,0.7045,0.0863,27.821,176.759,35.8585,25.0432,163.596,51.0,21.38
52.297,21.1989,0.8236,0.098,18.102,177.249,35.8436,25.0845,163.5,52.0,21.1888
53.302,21.0831,0.7188,0.1049,23.319,167.853,35.8564,25.1262,163.727,53.0,21.0728
54.308,21.0142,0.6894,0.1001,19.808,168.037,35.8604,25.1481,160.739,54.0,21.0038
55.314,20.9045,0.6368,0.0961,17.555,168.411,35.8708,25.1859,158.441,55.0,20.8939
56.32,20.8082,0.6285,0.0932,17.263,167.949,35.8694,25.2111,156.297,56.0,20.7975
57.326,20.7455,0.5796,0.0943,16.562,163.047,35.8744,25.232,150.844,57.0,20.7346
58.331,20.6982,0.5396,0.0881,14.041,162.974,35.8757,25.2458,146.389,58.0,20.6871
59.337,20.506,0.5292,0.0802,13.651,162.522,35.8844,25.3044,142.588,59.0,20.4948
60.343,20.2824,0.459,0.0806,13.899,158.721,35.8924,25.3705,139.166,60.0,20.2711
61.349,20.1021,0.422,0.0745,12.139,154.931,35.8809,25.4099,136.949,61.0,20.0906
62.355,19.9671,0.4669,0.0706,11.761,147.821,35.8839,25.4479,133.202,62.0,19.9555
63.361,19.8691,0.3242,0.0675,10.062,143.472,35.8832,25.4734,130.799,63.0,19.8574
64.367,19.7874,0.3436,0.0637,9.2388,140.669,35.8771,25.4902,129.824,64.0,19.7756
65.373,19.7183,0.3452,0.0634,7.2581,136.473,35.8734,25.5056,129.579,65.0,19.7063
66.379,19.6701,0.3198,0.0568,5.9336,134.301,35.8716,25.5169,129.513,66.0,19.6579
67.384,19.6214,0.3105,0.0557,3.0592,132.825,35.8708,25.5291,130.815,67.0,19.609
68.39,19.5808,0.2934,0.0521,3.4696,133.087,35.8752,25.5432,129.232,68.0,19.5683
69.396,19.5113,0.2372,0.0515,3.4679,132.838,35.8801,25.5651,127.17,69.0,19.4987
70.402,19.4173,0.2182,0.0496,3.3631,133.596,35.8778,25.5878,127.737,70.0,19.4045
71.408,19.325,0.233,0.0469,3.7777,134.374,35.8763,25.6107,128.189,71.0,19.312
72.414,19.2879,0.2061,0.0439,3.2265,130.791,35.8771,25.6209,127.704,72.0,19.2748
73.42,19.2657,0.2149,0.0425,3.6511,131.703,35.8777,25.6272,112.002,73.0,19.2525
74.426,19.1767,0.1965,0.0415,4.8289,131.507,35.8734,25.6469,107.264,74.0,19.1633
75.432,18.9677,0.1765,0.0413,4.1338,129.062,35.856,25.6874,106.624,75.0,18.9542
76.438,18.8458,0.16,0.0397,4.1214,121.619,35.859,25.7208,104.974,76.0,18.8322
77.444,18.7835,0.1733,0.0385,4.5647,109.36,35.8639,25.7405,102.866,77.0,18.7697
78.449,18.6901,0.1588,0.0392,3.3502,108.612,35.8585,25.7602,102.451,78.0,18.6763
79.456,18.5533,0.1533,0.0362,3.964,107.407,35.8514,25.7894,102.458,79.0,18.5393
80.461,18.5164,0.1323,0.0347,3.2828,105.281,35.8507,25.7982,102.149,80.0,18.5023
81.467,18.4919,0.1488,0.0345,2.6707,105.123,35.849,25.8031,104.334,81.0,18.4776
82.474,18.455,0.1499,0.0336,3.3096,104.801,35.8453,25.8096,103.946,82.0,18.4406
83.479,18.3912,0.1529,0.0342,2.9214,103.948,35.8443,25.825,104.262,83.0,18.3766
84.485,18.3133,0.1222,0.0344,2.5803,105.877,35.8427,25.8433,104.784,84.0,18.2986
85.491,18.2299,0.1181,0.0337,2.6852,108.334,35.8353,25.8585,103.802,85.0,18.215
86.498,18.1748,0.1133,0.0325,2.547,105.813,35.8371,25.8737,103.741,86.0,18.1598
87.503,18.1471,0.0997,0.0321,1.5947,107.75,35.8334,25.8778,103.503,87.0,18.1319
88.51,18.0866,0.0875,0.0321,1.5792,107.254,35.8295,25.8899,103.833,88.0,18.0713
89.516,18.0265,0.0819,0.032,1.5911,106.515,35.826,25.9022,104.205,89.0,18.0111
90.521,18.0043,0.0864,0.0321,1.4681,106.666,35.8242,25.9063,103.334,90.0,17.9887
91.527,17.9823,0.0853,0.0304,1.6524,107.388,35.8224,25.9104,101.21,91.0,17.9666
92.534,17.9741,0.0845,0.0333,1.6616,107.364,35.8231,25.9131,100.937,92.0,17.9582
93.54,17.9624,0.0648,0.0313,1.6256,106.48,35.8244,25.917,100.89,93.0,17.9463
94.545,17.9399,0.0807,0.0308,1.5611,104.921,35.8221,25.9208,100.734,94.0,17.9237
95.552,17.9062,0.0933,0.0308,1.5896,103.362,35.8194,25.9271,100.414,95.0,17.8898
96.558,17.8447,0.0802,0.0298,1.4346,103.38,35.8138,25.938,99.972,96.0,17.8281
97.564,17.7798,0.0798,0.03,1.3668,103.141,35.8088,25.9502,99.668,97.0,17.7632
98.57,17.7262,0.0761,0.0294,0.95347,102.871,35.803,25.959,99.53,98.0,17.7095
99.576,17.6941,0.0722,0.0284,1.1132,102.694,35.8059,25.9691,99.408,99.0,17.6771
100.582,17.6378,0.0829,0.0278,0.67052,102.463,35.7974,25.9764,98.849,100.0,17.6207
101.588,17.5636,0.0698,0.028,0.90037,102.555,35.7905,25.9893,97.759,101.0,17.5463
102.594,17.4827,0.0849,0.0281,1.0107,102.457,35.7862,26.0056,96.189,102.0,17.4653
103.6,17.3831,0.0661,0.0274,0.99209,101.381,35.7777,26.0234,96.313,103.0,17.3656
104.606,17.358,0.0662,0.0266,0.73441,98.524,35.7791,26.0306,96.804,104.0,17.3404
105.612,17.3408,0.0633,0.0264,0.76594,98.599,35.7826,26.0374,96.732,105.0,17.323
106.618,17.2659,0.0427,0.0319,0.45543,99.024,35.7653,26.0423,96.41,106.0,17.2481
107.624,17.2258,0.0526,0.0269,0.69909,99.431,35.7683,26.0543,96.534,107.0,17.2078
108.631,17.1719,0.0533,0.0263,0.25869,99.839,35.7602,26.0611,97.846,108.0,17.1538
