Pressure_db,Temperature_C,Fluorescence_mg_m3,BeamAttenuation_1_m,PAR,Oxygen_umol_L,Salinity_PSU,SigmaT_kg_m3,Oxygen_umol_kg,Depth_m,PotentialTemp_C,Nitrate_uM
53.302,20.6639,0.4409,0.0893,5.9428,149.4,35.8384,25.2264,127.966,53.0,20.6537,5.959402619206153
54.308,20.4221,0.3655,0.0808,6.0359,144.296,35.8404,25.2931,125.199,54.0,20.4119,5.103885885138273
55.314,20.1746,0.3358,0.077,4.4677,134.864,35.8199,25.3437,123.802,55.0,20.1642,5.9116547677441496
56.32,20.0184,0.2779,0.0672,6.6359,129.772,35.854,25.4112,124.24,56.0,20.0079,4.682339709817261
57.326,19.9079,0.3198,0.0629,5.3888,127.709,35.8571,25.4429,124.608,57.0,19.8973,5.729293391699316
58.332,19.8524,0.2452,0.0589,4.805,127.399,35.867,25.4652,124.53,58.0,19.8416,6.9986390185414775
59.337,19.8196,0.272,0.0525,5.3566,128.256,35.8705,25.4764,123.828,59.0,19.8087,6.936168322077904
60.343,19.7971,0.2496,0.0518,5.364,128.012,35.8702,25.4822,123.575,60.0,19.786,7.900011532906139
61.349,19.781,0.2229,0.0521,4.7019,127.057,35.8704,25.4867,123.966,61.0,19.7697,9.133997394761977
62.355,19.7642,0.2408,0.0511,4.7932,126.943,35.8713,25.4918,124.648,62.0,19.7527,8.681092189765769
63.361,19.7481,0.233,0.0505,3.9486,126.712,35.8729,25.4973,125.321,63.0,19.7365,9.72094396995645
64.367,19.6895,0.2389,0.0507,4.355,127.456,35.8758,25.5149,124.7,64.0,19.6777,8.9117212329579
65.373,19.5062,0.224,0.0488,4.0767,129.002,35.8714,25.5596,121.381,65.0,19.4943,8.132020670213409
66.378,19.442,0.2099,0.047,3.294,129.546,35.8697,25.5751,117.844,66.0,19.4299,10.082541803521597
67.385,19.4108,0.2157,0.0487,3.6295,126.221,35.8721,25.585,111.055,67.0,19.3986,10.016780701783185
68.39,19.2839,0.2008,0.0463,3.0677,124.277,35.8606,25.6092,108.729,68.0,19.2715,10.354323756481067
69.396,19.1172,0.1915,0.0435,3.0791,120.52,35.8625,25.6537,107.599,69.0,19.1047,10.890726306406279
70.402,19.0604,0.1825,0.0433,2.751,114.956,35.8652,25.6704,106.58,70.0,19.0478,10.368133165452603
71.408,19.0155,0.1953,0.0416,2.8159,110.086,35.8675,25.6837,104.22,71.0,19.0027,10.658588905092003
72.414,18.9944,0.1734,0.0408,2.3835,109.809,35.8677,25.6894,103.429,72.0,18.9814,12.547675783937997
73.42,18.8853,0.1722,0.0407,2.0977,108.191,35.8658,25.7158,101.895,73.0,18.8722,11.89249098469163
74.426,18.7805,0.175,0.0411,2.1575,106.059,35.8609,25.7389,99.939,74.0,18.7673,12.671200089856981
75.432,18.7226,0.1519,0.0392,1.6404,104.338,35.8617,25.7542,99.062,75.0,18.7093,12.020012698503175
76.438,18.6706,0.168,0.0388,1.707,103.927,35.8569,25.7638,98.407,76.0,18.6571,13.306495270805504
77.443,18.6259,0.1581,0.0381,1.6102,101.794,35.8563,25.7747,97.652,77.0,18.6123,12.5292152215129
78.45,18.562,0.1701,0.0378,1.7938,101.016,35.8537,25.7889,96.646,78.0,18.5482,12.84051070007707
79.456,18.4973,0.1533,0.0383,1.6059,100.403,35.8501,25.8025,96.56,79.0,18.4833,13.227712181315555
80.462,18.4436,0.1147,0.0371,1.4468,99.63,35.8494,25.8155,97.048,80.0,18.4295,13.308947088057652
81.467,18.3901,0.1327,0.0369,1.415,99.238,35.8469,25.8271,97.786,81.0,18.3758,12.87026534867862
82.473,18.3475,0.1312,0.0373,1.3835,99.169,35.8469,25.8378,98.605,82.0,18.3331,13.535587242930056
83.479,18.3128,0.1235,0.0354,1.1919,99.739,35.8451,25.8452,99.062,83.0,18.2983,12.934289220690957
84.485,18.261,0.1497,0.0342,1.0867,101.448,35.845,25.8582,101.078,84.0,18.2463,13.715309926330306
85.491,18.2084,0.1338,0.0352,1.1512,101.864,35.8407,25.868,101.684,85.0,18.1936,13.561990034721862
86.497,18.1444,0.1073,0.0349,0.94765,103.074,35.8359,25.8803,101.649,86.0,18.1295,13.960159214588161
87.503,18.09,0.1211,0.0345,1.0304,104.539,35.8361,25.8941,102.399,87.0,18.0749,14.01721824089526
88.509,18.0424,0.125,0.0344,0.93327,104.6,35.8321,25.9028,101.92,88.0,18.0271,13.685292887492402
89.515,17.9721,0.1049,0.0349,0.84992,105.288,35.8297,25.9185,101.225,89.0,17.9567,13.825497673967956
90.522,17.8972,0.0787,0.0338,0.65843,106.006,35.8168,25.9271,100.574,90.0,17.8816,13.916502841070116
91.527,17.8513,0.0952,0.0337,0.80827,104.861,35.8217,25.9423,99.764,91.0,17.8356,13.772394361900627
92.533,17.8056,0.1079,0.0331,0.64734,103.431,35.8141,25.9477,97.832,92.0,17.7898,14.387505893186832
93.54,17.7927,0.0929,0.032,0.70624,101.778,35.8145,25.9512,95.612,93.0,17.7767,13.949622416401484
94.546,17.7864,0.0818,0.0318,0.60181,100.165,35.8174,25.955,95.267,94.0,17.7702,13.978445810176629
95.552,17.7716,0.105,0.0326,0.62394,99.226,35.8176,25.9588,96.912,95.0,17.7553,15.124390597926427
96.558,17.741,0.0836,0.0315,0.60008,97.191,35.816,25.9652,98.192,96.0,17.7245,14.046281823677793
97.564,17.646,0.091,0.031,0.57982,97.824,35.8023,25.978,98.829,97.0,17.6295,14.380451254563921
98.57,17.6001,0.0955,0.0315,0.53354,100.864,35.8002,25.9876,98.272,98.0,17.5834,14.620453450006547
99.576,17.573,0.0764,0.0315,0.52689,101.787,35.7959,25.991,97.14,99.0,17.5561,
100.582,17.5107,0.0833,0.032,0.48606,101.893,35.7865,25.999,96.027,100.0,17.4937,
101.588,17.4877,0.0686,0.0313,0.48264,100.774,35.7903,26.0076,94.764,101.0,17.4706,
102.594,17.4645,0.0737,0.0309,0.40228,99.778,35.7874,26.011,94.128,102.0,17.4472,15.93773174524653
103.6,17.4464,0.0741,0.0307,0.42308,98.942,35.7871,26.0152,93.905,103.0,17.4289,15.156030223398474
104.606,17.433,0.0695,0.0307,0.39756,96.963,35.7867,26.0182,93.12,104.0,17.4153,14.822770454010243
105.612,17.4105,0.0575,0.0304,0.37585,96.269,35.7854,26.0227,92.664,105.0,17.3927,14.985070569760936
106.618,17.394,0.0609,0.0297,0.36045,95.847,35.7851,26.0265,92.23,106.0,17.3761,15.062763336675504
107.624,17.3759,0.0606,0.0297,0.34608,95.237,35.7836,26.0298,91.7,107.0,17.3578,15.091373892524071
108.631,17.3498,0.0471,0.0296,0.32039,95.042,35.7812,26.0343,91.561,108.0,17.3315,15.343475247703294
109.637,17.2875,0.0601,0.0299,0.29418,94.826,35.7752,26.0448,91.751,109.0,17.2691,15.007698191491636
110.643,17.1847,0.0648,0.0292,0.29309,94.465,35.7656,26.0622,91.796,110.0,17.1662,15.065485478922662
111.649,17.1446,0.0494,0.0295,0.26223,94.271,35.766,26.0722,91.892,111.0,17.126,15.230184999111344
112.655,17.1387,0.0494,0.028,0.24667,94.374,35.7663,26.0739,91.705,112.0,17.12,15.264544741123203
113.661,17.1374,0.0494,0.0283,0.24622,94.28,35.7659,26.0739,92.001,113.0,17.1185,15.488806666764452
114.667,17.1345,0.0368,0.0288,0.19269,94.317,35.7652,26.0741,92.401,114.0,17.1154,15.548812846755517
115.673,17.1237,0.0501,0.0279,0.22776,94.149,35.7646,26.0763,94.069,115.0,17.1045,15.071833519432886
116.679,17.0852,0.0516,0.0268,0.17208,94.717,35.7586,26.081,94.257,116.0,17.0658,15.250746930577533
117.686,17.0346,0.0354,0.0265,0.19867,95.23,35.754,26.0896,95.416,117.0,17.0151,15.060371101052283
118.692,16.9967,0.0398,0.0276,0.14502,97.055,35.7526,26.0976,96.727,118.0,16.977,15.269516202332335
119.698,16.9113,0.0411,0.0266,0.17482,97.62,35.7443,26.1116,97.186,119.0,16.8916,15.215608334524891
120.704,16.884,0.0404,0.0272,0.13582,99.566,35.7431,26.1172,97.632,120.0,16.8641,14.861272958253364
121.71,16.8743,0.0375,0.0282,0.14444,99.978,35.7433,26.1197,97.963,121.0,16.8543,14.775255698675059
122.716,16.8607,0.0313,0.0274,0.13218,99.983,35.741,26.1212,98.0,122.0,16.8405,14.814889617500912
123.723,16.8509,0.0268,0.0274,0.12384,100.276,35.7405,26.1232,98.387,123.0,16.8306,15.172618612207428
124.729,16.8486,0.0321,0.0265,0.1178,100.725,35.7406,26.1238,98.875,124.0,16.8281,14.757248329682312
125.735,16.846,0.0282,0.0259,0.12117,100.827,35.7403,26.1243,99.549,125.0,16.8253,14.683690922113108
126.741,16.8394,0.0261,0.0259,0.11806,101.474,35.7392,26.1251,100.11,126.0,16.8185,14.729101779966742
127.747,16.8259,0.0326,0.0257,0.11791,102.301,35.7374,26.1269,100.187,127.0,16.8049,14.758068861630857
128.754,16.8141,0.0218,0.0249,0.11792,102.932,35.7363,26.1289,100.97,128.0,16.793,14.879108314211658
129.76,16.797,0.0286,0.0249,0.11787,103.03,35.7353,26.1322,101.672,129.0,16.7757,15.013628395433216
130.766,16.7537,0.0224,0.0244,0.11789,102.994,35.7275,26.1365,101.737,130.0,16.7322,14.98240204155674
131.772,16.7243,0.0213,0.025,0.11792,103.866,35.7288,26.1445,101.958,131.0,16.7027,14.850320466628165
132.778,16.719,0.0198,0.0245,0.11783,104.669,35.7285,26.1455,102.04,132.0,16.6972,14.796145926147217
133.784,16.71,0.0184,0.0251,0.11791,104.777,35.7265,26.1462,101.444,133.0,16.6881,15.20250652573515
134.791,16.7017,0.0215,0.0238,0.11785,104.909,35.7263,26.148,101.134,134.0,16.6797,15.255369936436125
135.797,16.6798,0.0191,0.0246,0.11791,104.903,35.7224,26.1502,100.932,135.0,16.6576,15.842645138366882
136.803,16.6488,0.0119,0.0237,0.11787,104.168,35.7205,26.1562,100.531,136.0,16.6265,15.669368223944183
137.809,16.6278,0.0207,0.0232,0.11791,103.807,35.7178,26.159,100.168,137.0,16.6053,15.422065617932457
138.816,16.6049,0.019,0.0232,0.11786,103.266,35.7156,26.1628,98.776,138.0,16.5823,16.01040834526263
139.822,16.5668,0.0152,0.0235,0.11789,102.971,35.7111,26.1683,97.553,139.0,16.5441,15.19677445210741
140.828,16.5204,0.0133,0.0239,0.11796,101.991,35.7058,26.1751,95.391,140.0,16.4975,15.282506917020182
141.834,16.5095,0.0119,0.0242,0.11791,100.671,35.7061,26.1779,91.639,141.0,16.4865,14.741983338779312
142.841,16.4857,0.0068,0.024,0.11784,99.583,35.703,26.1812,89.837,142.0,16.4625,15.517288639010907
143.847,16.4521,0.0199,0.0238,0.11788,97.177,35.6986,26.1857,89.346,143.0,16.4288,15.909981602577663
144.853,16.425,0.0178,0.0233,0.11791,92.098,35.6958,26.1899,89.023,144.0,16.4015,15.767284822120267
145.86,16.3887,0.0083,0.0234,0.11789,91.587,35.6918,26.1954,90.082,145.0,16.3651,15.788600370138493
146.866,16.3265,0.001,0.0228,0.11791,91.144,35.6844,26.2042,92.811,146.0,16.3028,15.790560688258685
147.872,16.2832,-0.0032,0.0227,0.11792,92.03,35.6813,26.2119,93.464,147.0,16.2594,16.573106096257057
148.879,16.2701,-0.0059,0.0224,0.11784,93.83,35.681,26.2147,93.591,148.0,16.2462,16.45360957042568
149.885,16.2656,-0.0061,0.0222,0.11789,96.074,35.6809,26.2157,93.516,149.0,16.2415,16.47461396380984
150.891,16.259,0.002,0.0244,0.11789,96.314,35.6798,26.2165,93.267,150.0,16.2348,16.858770556873026
151.897,16.2465,0.0034,0.0226,0.1179,96.253,35.6779,26.218,92.789,151.0,16.2221,16.731640811337456
152.904,16.2264,-0.0095,0.0219,0.11791,95.824,35.676,26.2212,91.921,152.0,16.2018,16.923855718129875
153.91,16.201,0.0067,0.0222,0.11792,95.565,35.6719,26.224,91.175,153.0,16.1763,16.5753732767545
154.916,16.172,-0.0047,0.0216,0.11795,94.638,35.6696,26.2289,90.067,154.0,16.1472,16.919919365079178
155.923,16.1225,0.0067,0.0222,0.11794,93.789,35.6609,26.2337,89.704,155.0,16.0976,16.513956292598014
156.929,16.0584,-0.0012,0.0219,0.11793,91.604,35.6563,26.2449,87.516,156.0,16.0334,16.36119919665949
157.935,16.0454,-0.0,0.0226,0.11794,91.305,35.6537,26.2459,86.742,157.0,16.0203,17.18279977717557
158.942,16.0357,-0.0243,0.0222,0.11794,89.969,35.6524,26.2473,86.087,158.0,16.0105,16.980046713152696
159.948,16.0146,0.0072,0.0226,0.11799,89.761,35.649,26.2495,85.969,159.0,15.9892,17.557083760384224
160.954,15.9838,-0.0041,0.0243,0.11791,88.996,35.6449,26.2534,85.951,160.0,15.9582,17.696513257728625
161.961,15.9706,-0.0221,0.0252,0.11793,88.4,35.6437,26.2556,85.85,161.0,15.9449,17.34141723926416
162.967,15.9618,-0.0111,0.0256,0.11787,88.179,35.6427,26.2569,85.59,162.0,15.936,17.697940683231405
163.973,15.9558,-0.0099,0.0252,0.11791,88.168,35.6419,26.2577,85.266,163.0,15.9298,16.89362848189551
164.98,15.9426,-0.0031,0.0252,0.11793,87.893,35.6399,26.2592,84.911,164.0,15.9165,17.673769635103156
165.986,15.9232,-0.014,0.0259,0.11791,87.709,35.6371,26.2615,84.74,165.0,15.8969,17.57640422424174
166.993,15.9079,-0.0055,0.0252,0.11792,87.545,35.635,26.2634,84.578,166.0,15.8814,17.482323191391526
167.999,15.8959,0.0009,0.026,0.11793,87.355,35.6343,26.2657,84.74,167.0,15.8693,17.49839366756746
