Pressure_db,Temperature_C,Fluorescence_mg_m3,BeamAttenuation_1_m,PAR,Oxygen_umol_L,Salinity_PSU,SigmaT_kg_m3,Oxygen_umol_kg,Depth_m,PotentialTemp_C,Nitrate_uM
2.011,29.8013,0.0182,0.101,668.08,185.281,35.1206,21.8845,180.326,2.0,29.8008,-0.4998438382597208
3.017,29.6554,0.0146,0.0719,285.16,184.964,35.1164,21.931,180.46,3.0,29.6546,-0.10442517276844115
4.022,29.3936,0.0247,0.0769,330.17,184.749,35.1154,22.0189,182.128,4.0,29.3927,-0.2842092928884997
5.028,29.3234,0.0128,0.0799,358.48,184.985,35.1189,22.0452,181.447,5.0,29.3222,-0.0458532120868517
6.033,29.2956,0.0265,0.0815,302.4,185.615,35.1234,22.0581,181.489,6.0,29.2941,-0.6264285192849294
7.039,29.2781,0.035,0.0797,309.25,185.596,35.1255,22.0656,181.602,7.0,29.2764,0.0026573050691892017
8.045,29.2625,0.032,0.0797,180.24,187.913,35.1269,22.072,181.481,8.0,29.2606,-0.3439348462104489
9.05,29.2525,0.0283,0.081,276.28,185.995,35.1302,22.0779,181.425,9.0,29.2503,-0.4102488034330138
10.056,29.239,0.0293,0.085,283.98,185.651,35.1299,22.0823,181.509,10.0,29.2365,-0.5650748138184
11.062,29.2283,0.0308,0.0815,240.88,185.663,35.13,22.0861,181.503,11.0,29.2256,-0.5968562600478017
12.067,29.224,0.0312,0.0815,287.46,185.274,35.133,22.0898,181.711,12.0,29.2211,-0.6078175876001624
13.073,29.2193,0.0348,0.081,204.88,185.851,35.1363,22.094,181.507,13.0,29.2161,-0.5642583686286763
14.079,29.2131,0.0422,0.0807,236.97,185.658,35.1391,22.0982,181.953,14.0,29.2097,0.17748690341795298
15.084,29.1841,0.0289,0.08,200.57,185.612,35.1422,22.1104,182.728,15.0,29.1804,-0.0354352585951574
16.09,29.0959,0.0331,0.0792,201.94,186.073,35.1441,22.1415,183.573,16.0,29.092,-0.3880646319779322
17.095,28.8339,0.0439,0.0802,208.98,186.555,35.1547,22.2371,184.831,17.0,28.8298,-0.9321834101578552
18.101,28.6291,0.0412,0.0831,173.22,188.076,35.1967,22.3367,185.41,18.0,28.6247,-0.7788162333142569
19.107,28.4665,0.0563,0.0869,189.02,189.79,35.2523,22.4325,185.652,19.0,28.4619,-0.9055524244259231
20.112,28.3971,0.0423,0.0886,143.03,190.205,35.2716,22.47,187.813,20.0,28.3923,-0.6848181271836215
21.118,28.4183,0.054,0.087,165.23,190.35,35.3268,22.5045,190.52,21.0,28.4133,-1.0165073785674483
22.124,28.1213,0.0797,0.0878,153.98,190.515,35.3662,22.6319,194.309,22.0,28.1161,-0.9328667163958496
23.129,27.6051,0.0886,0.0899,127.93,192.678,35.4236,22.8437,197.025,23.0,27.5997,-0.618218543063857
24.135,27.1245,0.1195,0.0993,108.4,196.91,35.4541,23.0217,198.201,24.0,27.1189,-0.9702362088862628
25.141,26.6005,0.1633,0.1123,125.91,204.343,35.5375,23.2519,198.809,25.0,26.5948,-1.112140627449448
26.147,26.5397,0.1435,0.1179,80.076,205.824,35.5477,23.2788,196.17,26.0,26.5338,-1.050356131445243
27.152,26.3794,0.1562,0.123,104.95,205.672,35.5571,23.3366,192.477,27.0,26.3733,-1.004516479273785
28.158,26.0652,0.1751,0.1266,89.612,205.838,35.5809,23.4531,191.767,28.0,26.0589,-1.2414488347415908
29.164,25.3989,0.1762,0.1257,81.559,204.926,35.6064,23.6789,193.392,29.0,25.3925,-0.5560473657657659
30.17,24.5485,0.1903,0.1258,74.801,200.837,35.6645,23.9826,194.019,30.0,24.542,-1.1427866386092216
31.175,24.2244,0.2068,0.124,71.287,201.913,35.6855,24.0954,192.214,31.0,24.2178,-1.3085098339274976
32.181,23.9654,0.199,0.1221,61.414,202.287,35.7115,24.1924,191.143,32.0,23.9586,-0.9360975919140158
33.186,23.6158,0.2141,0.1209,56.107,203.106,35.7277,24.3079,191.011,33.0,23.6089,-1.2059025102225966
34.192,23.2073,0.206,0.1194,55.505,200.88,35.7589,24.4511,190.985,34.0,23.2003,-1.315954152705215
35.198,22.9283,0.2304,0.1167,48.896,199.133,35.789,24.555,190.641,35.0,22.9211,-1.3686973013893606
36.204,22.7957,0.2278,0.1107,46.932,198.135,35.7896,24.5936,188.843,36.0,22.7883,-0.5817506095747986
37.21,22.6643,0.2441,0.1069,37.517,196.465,35.7935,24.6344,187.66,37.0,22.6568,0.9837764190680909
38.215,22.5284,0.2651,0.1088,35.049,196.418,35.7943,24.6739,186.14,38.0,22.5207,
39.221,22.4133,0.3033,0.1086,37.456,193.835,35.8047,24.7147,181.401,39.0,22.4054,
40.227,22.339,0.2859,0.1078,23.809,193.576,35.8071,24.7377,172.668,40.0,22.3309,
41.233,22.1017,0.3726,0.1087,30.538,191.309,35.8257,24.819,160.053,41.0,22.0935,-0.4600166701742651
42.238,21.8111,0.5908,0.1108,17.542,189.115,35.8017,24.8825,154.955,42.0,21.8028,0.192814699999733
43.244,21.5737,0.7435,0.1151,23.774,172.83,35.7942,24.9429,154.004,43.0,21.5653,0.4849820247749722
44.25,21.4898,0.7915,0.1246,21.612,162.778,35.7807,24.956,153.457,44.0,21.4811,-0.11797328124069381
45.256,21.4466,0.8115,0.1319,19.932,155.554,35.7805,24.9679,150.586,45.0,21.4378,0.2937760426915606
46.262,21.4376,0.7553,0.1328,17.319,157.646,35.7788,24.9691,148.094,46.0,21.4286,1.1995543313333863
47.267,21.4196,0.736,0.1325,15.2,156.584,35.779,24.9743,148.133,47.0,21.4104,1.5074281661532662
48.273,21.3495,0.6702,0.132,13.798,155.382,35.775,24.9907,148.13,48.0,21.3401,3.41721460021418
49.279,21.248,0.6655,0.129,14.204,151.067,35.7938,25.033,147.786,49.0,21.2384,2.3588145426999048
50.285,21.0996,0.5791,0.1191,11.541,152.161,35.7994,25.078,146.143,50.0,21.0899,3.994801892183068
51.291,20.9474,0.552,0.1082,12.023,152.849,35.8307,25.1435,144.237,51.0,20.9375,4.189383926400961
52.296,20.8385,0.4698,0.0968,9.8679,152.085,35.8329,25.1749,136.247,52.0,20.8286,3.6727867951845266
